L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_ML,Delta_BF_ML,CL_CT,BF_physical,Delta_BF_physical,CL_physical,CT_physical,CL_CT_physical,BF_error_percent,Delta_BF_error_percent
44.57603728972943,138.74197550747607,161.8614420694521,18.53488758880617,135.23542871987706,0.3,1.4677745,26.277115,2.170933099607252,1.4534649177396637,26.24263219800302,0.9950935576123597,0.45837136012730384,2.170933099607252,0.9845158606370521,0.13139943394728404
44.43784751596329,142.6375051608717,160.98573701889146,24.408114479127505,135.37700814383857,0.3,1.4703015,26.406523,2.1921671233926365,1.4621642856735426,26.408146969914764,1.004116749578517,0.4580475360950256,2.1921671233926365,0.5565190799481473,0.006150446913682154
44.095623770231384,142.19281630631087,160.53719821632427,18.02334804229266,135.38750464195635,0.3,1.4777509,26.413633,2.190029448306743,1.4827782146825532,26.39144621686948,1.0179617486560069,0.46481646602654625,2.190029448306743,0.3390471498192179,0.08406939697740443
41.71699579277995,140.22725512534234,161.42896123743034,19.368152506629098,135.15175305494927,0.3,1.4793315,26.452383,2.1850428663122012,1.469423689515716,26.352521027809345,1.008072382424177,0.46135130709153904,2.1850428663122012,0.6742646067748438,0.3789467181037745
41.64546268840413,142.43563160878495,161.27958572228465,19.96439168993759,135.2582204924706,0.3,1.4815972,26.473606,2.1891909483488305,1.4802444658284335,26.384897675221254,1.0161002707011977,0.4641441951272357,2.1891909483488305,0.09138485822320806,0.33620912800126346
36.26858747961717,143.12247628292667,160.90980930909154,18.889600483198,135.04422832240246,0.3,1.4972678,26.510143,2.205936896180119,1.503694165888896,26.515925097440533,1.0346599289141911,0.469034236974705,2.205936896180119,0.42736905827599114,0.021805075214194145
37.223946759759336,138.35454480409228,161.9326758046624,18.110675472277165,137.1024755436843,0.3,1.4981863,26.664179,2.217500825352145,1.4838451141847626,26.60670277036602,1.0226657098182197,0.4611794043665429,2.217500825352145,0.9664914179328614,0.2160210470145028
37.16671714294643,140.8151253619867,161.9083952950233,18.535673859981117,136.32192898886126,0.3,1.5029825,26.672836,2.207771138615426,1.4907841471946293,26.530308004265297,1.026042716844926,0.4647414303497033,2.207771138615426,0.8182505860151986,0.5372282124381137
36.158567243352685,141.62233894219906,160.3587590746342,19.38954468867267,136.6611450864274,0.3,1.5042558,26.743273,2.2360590942786462,1.5081008469542727,26.752882037977514,1.0420707767307111,0.46603007022356163,2.2360590942786462,0.2549614188650083,0.03591858474089923
35.219766789410194,141.3553866823456,158.94645426790032,20.20625473985027,135.0308596688433,0.3,1.507407,26.753166,2.2356542426812305,1.5081441168589336,26.74968668809507,1.0420423631656195,0.4661017536933141,2.2356542426812305,0.04887907287803847,0.013007668747559892
44.630188339062144,142.28392155315504,156.22922600477568,22.00346242827179,135.1437926255581,0.3,1.5147649,26.78842,2.2439172928285673,1.4984815475775006,26.814960094679996,1.036545742096195,0.4619358054813056,2.2439172928285673,1.0866571847157378,0.09897598607472757
41.30203545009286,141.1352626581398,155.90482272699415,18.54680789054704,135.0337329874177,0.3,1.5278934,26.85226,2.255029643903291,1.5162116554996854,26.902925727201744,1.0504058652699197,0.4658057902297657,2.255029643903291,0.7704576397405013,0.18832575354771414
35.77189625439404,143.01402054956435,156.45240195219543,18.145756007076926,135.05178724426383,0.3,1.5419072,26.894085,2.2662000991587807,1.5404182490901774,26.991561501386435,1.0687942816893692,0.4716239674008082,2.2662000991587807,0.09665830609656005,0.3611372056466855
35.12629620994715,141.64030453899767,155.4984508896752,18.845313184432015,135.10143065409812,0.3,1.5474333,27.082312,2.2829959757911724,1.5409948633986663,27.125223761612048,1.0716080975415134,0.4693867658571529,2.2829959757911724,0.41780760320641874,0.15820010091033615
40.22141447209002,141.11121576348145,155.74991042585557,18.31783645105606,136.93592450476527,0.3,1.5479473,27.157158,2.287910452754724,1.53254694859181,27.16442056993591,1.0664311675772176,0.4661157810145923,2.287910452754724,1.0048852977620044,0.02673597240181514
35.03362286231379,141.53959458290052,155.56454281840195,18.367505868722226,136.15322637796228,0.3,1.5498264,27.16159,2.2971264891014935,1.5478515988312291,27.23803065047907,1.0783968769855297,0.4694547218456994,2.2971264891014935,0.12758230575594268,0.28063730189631836
35.06055606116331,142.1493390427889,155.7911046884381,18.393004422283912,136.18146919363258,0.3,1.5533587,27.199196,2.294210172268068,1.5492065629351799,27.21472278900059,1.078924922748103,0.4702816401870768,2.294210172268068,0.26801533207623535,0.0570534093055641
41.46179168610076,142.25447134659257,156.23087867086588,18.311469364215252,138.83756787039886,0.3,1.5553173,27.219135,2.303887807232556,1.5420419940235872,27.29212072801712,1.0753064134000878,0.46673558062349935,2.303887807232556,0.8608902159967053,0.2674231303629277
36.0903697500971,143.0870262237938,156.0460988034627,20.712096923665385,136.86589748864228,0.3,1.5573449,27.253685,2.29943141031224,1.5459973502242361,27.256461701504232,1.0774325710346206,0.4685647791896154,2.29943141031224,0.7339962941582021,0.01018732356403149
35.16096111593682,142.82536629450456,156.09362265305742,18.341903803518225,137.63693175052472,0.3,1.5669729,27.37326,2.3105495248227186,1.5589379548758067,27.3454846873536,1.0880378994056235,0.47090005547018315,2.3105495248227186,0.5154083812186292,0.1015736638455701
37.88476614357324,143.09085310721076,153.34456730352073,19.88730077300091,136.8507970846562,0.3,1.5690423,27.390945,2.3313729042191818,1.564770356803975,27.512736749581983,1.0950630013703655,0.4697073554336094,2.3313729042191818,0.2730092755966341,0.44267248336725534
35.321718236508126,142.4309283181078,152.4097485570892,18.515099370921376,136.9523136821229,0.3,1.569773,27.551992,2.3551822957775244,1.5825632132941385,27.704780955744816,1.1108859469692105,0.47167726632492796,2.3551822957775244,0.8081986508470754,0.5514879890479633
36.894713590842855,143.145145220223,154.11703468577116,21.707280895789104,138.62281936886757,0.3,1.5736072,27.579391,2.3519330747170484,1.5675494515683743,27.678523143916607,1.0998940966950679,0.4676553548733064,2.3519330747170484,0.3864474431839595,0.35815373496980546
35.1654741351836,143.13432614400836,155.41640307143228,20.315099812461977,139.5715812362105,0.3,1.5749344,27.644833,2.3508162791570775,1.5724775232562784,27.66950163674385,1.103195595435441,0.46928192782083733,2.3508162791570775,0.1562400780017063,0.08915601727754062
41.84574726917969,141.78074228500853,156.3453847070175,18.589381326169903,143.04635275512402,0.3,1.5784006,27.692038,2.3618082422946194,1.5634156015258331,27.758375215664007,1.0983636149619844,0.4650519865638487,2.3618082422946194,0.958479008203799,0.23898240711549829
35.198790826653195,141.20011155442333,156.438409437134,18.235459259353046,141.35498522336897,0.3,1.5845191,27.69882,2.359551323179788,1.5714307112220363,27.740112780704546,1.1036805386380706,0.4677501725839658,2.359551323179788,0.8328993799994029,0.14885543867552828
36.530192093912724,143.10406315010258,155.56529172989747,23.202933529727424,141.37775545065628,0.3,1.585119,27.806644,2.3749821052454068,1.5701333960717176,27.8651229622241,1.1049062194204957,0.46522717665122193,2.3749821052454068,0.954416547264001,0.20986278297106725
36.629942787861566,143.12826335576815,152.036672257905,18.149762179978943,139.7045384544791,0.3,1.5874947,27.832422,2.3975538138919945,1.604296575748114,28.04859953908798,1.1321049156223995,0.47219166012571456,2.3975538138919945,1.0473029147292883,0.7707239797017094
36.045638217968346,142.23526510400114,155.66182326667195,18.176741322777005,143.32635004571333,0.3,1.5890976,27.876265,2.3974137113734755,1.5941988675112824,28.047458483263842,1.1249599101907757,0.46923895732050663,2.3974137113734755,0.31998821216980994,0.6103722774826112
41.669895195905,142.6828099450024,152.12046595328727,18.351702356739864,141.31979951595838,0.3,1.5903381,27.897814,2.4004332499665075,1.5930388738560428,28.072056985579824,1.124557725498923,0.4684811483571199,2.4004332499665075,0.16953528106557572,0.6206997537524933
38.902630841859356,142.78566582517013,152.45758899760963,18.474470238166866,142.86245059195437,0.3,1.5945345,28.106705,2.430201332165996,1.61128675705414,28.31523262454043,1.141551426377006,0.46973533067713413,2.430201332165996,1.0396809038655472,0.7364513489662837
40.00416223195105,143.0993597578589,152.12228890112956,21.415707121677933,142.67969085731986,0.3,1.6029749,28.14136,2.4316401050566596,1.6018675333086754,28.327016415136114,1.1350739639747993,0.466793569333876,2.4316401050566596,0.06912920893246535,0.655406426118631
38.737180028823516,143.1227860523271,156.4079639843138,20.53269100225741,146.1469407719354,0.3,1.6069033,28.323643,2.4204275310455,1.596416519099527,28.23525723591724,1.1296864087230734,0.46673011037645357,2.4204275310455,0.6568959519939255,0.31303236962622594
43.14115229414138,143.08735531463964,153.40000433538907,18.43595419548125,146.34058466533287,0.3,1.6211567,28.410463,2.4494150602938327,1.6131045462847395,28.472823064153996,1.1454587228368271,0.4676458234479123,2.4494150602938327,0.499170759805294,0.2190149212939168
41.66670201808833,143.08758271810365,153.43438133063003,18.514349005733273,146.68385215492933,0.3,1.6259199,28.61069,2.460573873286927,1.6208266898980088,28.564569647794315,1.1524573531213564,0.4683693367766523,2.460573873286927,0.31423768014179554,0.16145706370638185
36.09487325700815,143.0869777073979,154.03501618306183,19.003198618323975,146.2795438471413,0.3,1.6267813,28.618223,2.468154143237847,1.631495402861285,28.626985522467272,1.1610735774524146,0.4704218254088704,2.468154143237847,0.28894095804745556,0.030608644255534157
43.77926891816704,143.1095079700143,155.54356461748696,18.39152367472226,149.39035443700132,0.3,1.6311152,28.638979,2.4575307850318264,1.6140307745985008,28.539533683271095,1.1472147504040426,0.46681602419445806,2.4575307850318264,1.0584942868344671,0.3484474412315957
37.8880106681578,143.09547346716184,156.06789256898045,18.0941464576447,151.95072410853865,0.3,1.6455158,28.879486,2.5102413337348795,1.6505501805044505,28.97484654034705,1.1803402936109264,0.47020988689352394,2.5102413337348795,0.30501229477990915,0.32911462095195326
39.024342551548834,143.12535750477153,155.7540073019235,18.260411191542754,153.3489440678209,0.3,1.650009,29.05814,2.5308334924316376,1.6591502528231632,29.145834652501527,1.1892469689726046,0.4699032838505587,2.5308334924316376,0.5509577413776005,0.3008829649989453
35.161480042173366,140.90590260757233,155.36427824315734,25.73418649686606,154.0259830021808,0.3,1.6500616,29.267689,2.5776775020363014,1.6490515676049637,29.536651872805475,1.1881236145777903,0.4609279530271735,2.5776775020363014,0.06124973746837131,0.9106080226798062
43.292100683490645,142.47766805515704,152.3953933181366,18.1464968477547,152.67079776185233,0.3,1.6503664,29.315527,2.5586698203546785,1.6651307716599435,29.377768733087056,1.1972225768238216,0.4679081948361218,2.5586698203546785,0.8866778752160082,0.21186690988101367
44.61260516748379,143.0876352556727,152.79838381480164,18.378275324721237,154.63224150143228,0.3,1.665292,29.32756,2.5735672841415176,1.6728619350418121,29.50226054987205,1.20474092261104,0.4681210124307722,2.5735672841415176,0.45251256369798193,0.5921584373917468
