Geometry,L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_ML,BF_physical,BF_error_abs,BF_error_percent,CL,CT,CL_CT
Reference,40.0,143.15,157.0,28.0,145.0,0.3,1.5515482,1.5587764862400972,0.00722824367112751,0.46371264481687524,1.1011848418737904,0.4575916443663069,2.406479347757234
ML Optimized,35.0531698114647,143.0975126242884,152.25812082120095,20.160461267375695,154.19568615240217,0.3,1.7036743,1.7088356546281263,0.005161338221876255,0.3020383035605291,1.2373219717011348,0.47151368292699153,2.6241486016275797
