candidate_id,L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_XGB,Delta_BF_XGB,BF_RSM,Delta_BF_RSM
25,36.94638707851968,143.14704293010658,153.28769635986117,19.05903772461218,139.79256505088512,0.3,1.5809023,27.796656,1.6100429940886527,28.087070884433647
532,38.878416951636495,142.99529323915786,153.06337087582526,18.39559269392435,142.37653961518984,0.3,1.5874132,28.005459,1.6259272017177318,28.395200270295877
797,36.65487757581775,142.91462836270597,155.81824077863268,18.980886407390194,136.52329708635486,0.3,1.5474263,27.228786,1.5595606352534062,27.27652619692667
1467,37.286456026621146,142.89914286151406,155.67258499637234,18.15029903761922,135.5278474890937,0.3,1.5463518,27.123396,1.5525707627304057,27.11771790151241
2782,41.37790040134578,142.02982854044814,161.90625144042963,19.690919261738447,135.115801722772,0.3,1.4649607,26.438616,1.4716404224332824,26.14195851100273
2889,36.26858747961717,143.12247628292667,160.90980930909154,18.889600483198,135.04422832240246,0.3,1.4972678,26.510143,1.5026028415985553,26.391293522044226
2924,35.599908345853486,142.69870730654554,159.69434151660906,18.868505717191237,136.45470271168566,0.3,1.4992143,26.791922,1.5246862463304556,26.76600825617159
3208,36.09487325700815,143.0869777073979,154.03501618306183,19.003198618323975,146.2795438471413,0.3,1.6267813,28.618223,1.6597800563374894,28.927633367286095
3227,36.948376864813916,142.45058507726617,152.5130303681178,18.42346349233346,135.6837031692999,0.3,1.5523487,27.291653,1.5800649608714634,27.57126010326687
3863,38.4371007699707,143.0017095935924,153.63352479732507,18.131148630958403,143.38196076442773,0.3,1.5888503,27.991642,1.6317171431233861,28.47420289685194
3945,43.81719423274771,143.03139950637728,156.68093459811135,18.4599093030388,136.5292651311517,0.3,1.5124907,26.957018,1.5295571911316723,26.91064115181648
4326,35.58801057823498,142.247413154477,156.3745216976921,19.228515164208645,154.03951839880568,0.3,1.6412508,29.229906,1.6990697613082664,29.67356960442697
4639,37.209278622129126,141.95675332196134,157.15000770693888,18.67181774296444,135.12183707741053,0.3,1.5058113,26.88766,1.5279318752647941,26.85348595583341
4971,35.708004717736586,142.74138220081474,155.79273131983487,18.750459287070555,135.7619780951894,0.3,1.5450553,27.186613,1.5561816968138156,27.19185194437669
5166,38.6637215490949,142.11866987748175,158.50203737940976,18.170247994912227,135.81316347270368,0.3,1.4911095,26.882006,1.5195077905736873,26.732479166240775
5630,39.212735605515235,142.72046498052188,152.98894423021295,18.71223897287996,147.77900033749214,0.3,1.62439,28.93545,1.6667890157184018,29.146282691426418
6068,37.8880106681578,143.09547346716184,156.06789256898045,18.0941464576447,151.95072410853865,0.3,1.6455158,28.879486,1.6836971631025048,29.33238091561532
6080,36.918942721254076,142.34278967496041,154.7677231104673,18.055493381114204,152.20762536770187,0.3,1.6492705,29.270138,1.6969671016894603,29.58932535763058
6157,35.4314098309524,142.74988462254262,155.05587742745467,19.169486154049917,145.547674029327,0.3,1.60793,28.631044,1.6441985584489007,28.708461699698457
6488,35.20543034528144,141.54401477741183,154.29267891142655,18.44926489591159,135.4740547179104,0.3,1.5540745,27.281412,1.5617642859086618,27.341003304850478
6559,37.29731526612794,142.43038022670012,152.13948581626022,18.386016844225033,145.83285185105902,0.3,1.6193652,28.666943,1.665576821427487,29.06885457676258
6691,35.58789661567016,142.922132592727,155.75289836775315,18.672470495139518,137.77203314269943,0.3,1.5541312,27.401266,1.5750744109586532,27.49599832469408
6742,35.60614975007502,141.86700328924155,153.09156014358743,18.360995445734588,153.99285710254625,0.3,1.665197,29.520138,1.7289914141787222,30.127573420931046
7488,36.607289431776934,142.62053021477476,152.76578965001107,18.22293198472252,149.25431326290362,0.3,1.6388241,29.17365,1.692944835583332,29.481877833225877
7689,38.68623153866816,142.7549705256556,161.6874916243954,18.760884916813687,137.91989221171883,0.3,1.4864014,26.777414,1.5107326194497896,26.637489422253513
8547,40.51080102079216,142.9672294325216,159.35026847273903,18.963441580248876,135.7636972126701,0.3,1.4951731,26.750925,1.5095566210744824,26.585563881236947
8583,35.018748478732526,142.30875476726777,154.50345355630603,20.614978402458664,135.7384365692836,0.3,1.5427215,27.364473,1.5631212621099633,27.414975936225762
8895,36.19750827207219,142.67507387438496,155.98373513864894,18.331718253828235,151.0996553369072,0.3,1.6285546,28.945248,1.6807114278073203,29.297881453837366
10237,36.77133549720038,142.93439913772283,160.12494672823684,18.329262526515453,135.07117737650745,0.3,1.4919989,26.543228,1.5090628367827499,26.47763424928654
10528,36.09457127542794,143.14341334398503,154.398907574108,19.441259319931067,139.9509075946399,0.3,1.5782869,27.770735,1.6034919516039343,27.995346260294443
