candidate_id,L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_XGB,Delta_BF_XGB,BF_RSM,Delta_BF_RSM,Method,BF_physical,Delta_BF_physical,CL_physical,CT_physical,CL_CT_physical
2889.0,36.26858747961717,143.12247628292667,160.90980930909154,18.889600483198,135.04422832240246,0.3,1.4972678422927856,26.510143280029297,1.5026028415985553,26.391293522044226,XGBoost,1.503694165888896,26.515925097440533,1.0346599289141911,0.469034236974705,2.205936896180119
3208.0,36.09487325700815,143.0869777073979,154.03501618306183,19.003198618323975,146.2795438471413,0.3,1.6267813444137573,28.618223190307617,1.6597800563374894,28.927633367286095,XGBoost,1.631495402861285,28.626985522467272,1.1610735774524146,0.4704218254088704,2.468154143237847
3771.0,44.61260516748379,143.0876352556727,152.79838381480164,18.378275324721237,154.63224150143228,0.3,1.6652920246124268,29.327560424804688,1.7032163696242284,29.823063148740797,XGBoost,1.6728619350418121,29.50226054987205,1.20474092261104,0.4681210124307722,2.5735672841415176
6068.0,37.8880106681578,143.09547346716184,156.06789256898045,18.0941464576447,151.95072410853865,0.3,1.6455157995224,28.879486083984375,1.6836971631025048,29.33238091561532,XGBoost,1.6505501805044505,28.97484654034705,1.1803402936109264,0.47020988689352394,2.5102413337348795
7342.0,43.77926891816704,143.1095079700143,155.54356461748696,18.39152367472226,149.39035443700132,0.3,1.631115198135376,28.638978958129883,1.6430598360284883,28.8256262042382,XGBoost,1.6140307745985008,28.539533683271095,1.1472147504040426,0.46681602419445806,2.4575307850318264
8200.0,35.219766789410194,141.3553866823456,158.94645426790032,20.20625473985027,135.0308596688433,0.3,1.5074069499969482,26.75316619873047,1.5081133529579103,26.664598956935567,XGBoost,1.5081441168589336,26.74968668809507,1.0420423631656195,0.4661017536933141,2.2356542426812305
11123.0,35.77189625439404,143.01402054956435,156.45240195219543,18.145756007076926,135.05178724426383,0.3,1.5419071912765503,26.894084930419922,1.5474134500012382,26.992618985095238,XGBoost,1.5404182490901774,26.991561501386435,1.0687942816893692,0.4716239674008082,2.2662000991587807
12445.0,36.629942787861566,143.12826335576815,152.036672257905,18.149762179978943,139.7045384544791,0.3,1.5874947309494019,27.832422256469727,1.6242529601626416,28.242343732397106,XGBoost,1.604296575748114,28.04859953908798,1.1321049156223995,0.47219166012571456,2.3975538138919945
13533.0,44.095623770231384,142.19281630631087,160.53719821632427,18.02334804229266,135.38750464195635,0.3,1.4777508974075317,26.413633346557617,1.4847583655924783,26.26195838444426,XGBoost,1.4827782146825532,26.39144621686948,1.0179617486560069,0.46481646602654625,2.190029448306743
14473.0,35.321718236508126,142.4309283181078,152.4097485570892,18.515099370921376,136.9523136821229,0.3,1.5697729587554932,27.551992416381836,1.5976176783016367,27.83469976639633,XGBoost,1.5825632132941385,27.704780955744816,1.1108859469692105,0.47167726632492796,2.3551822957775244
16155.0,43.292100683490645,142.47766805515704,152.3953933181366,18.1464968477547,152.67079776185233,0.3,1.6503664255142212,29.315526962280273,1.6940379746175371,29.690824864278486,XGBoost,1.6651307716599435,29.377768733087056,1.1972225768238216,0.4679081948361218,2.5586698203546785
16734.0,38.902630841859356,142.78566582517013,152.45758899760963,18.474470238166866,142.86245059195437,0.3,1.5945345163345337,28.106704711914062,1.6335121123934946,28.543486357553565,XGBoost,1.61128675705414,28.31523262454043,1.141551426377006,0.46973533067713413,2.430201332165996
17669.0,41.64546268840413,142.43563160878495,161.27958572228465,19.96439168993759,135.2582204924706,0.3,1.4815971851348877,26.47360610961914,1.4792227859158964,26.241482627967518,XGBoost,1.4802444658284335,26.384897675221254,1.0161002707011977,0.4641441951272357,2.1891909483488305
19734.0,41.30203545009286,141.1352626581398,155.90482272699415,18.54680789054704,135.0337329874177,0.3,1.5278934240341187,26.85226058959961,1.5199365497904496,26.855326064334097,XGBoost,1.5162116554996854,26.902925727201744,1.0504058652699197,0.4658057902297657,2.255029643903291
20136.0,35.06055606116331,142.1493390427889,155.7911046884381,18.393004422283912,136.18146919363258,0.3,1.5533586740493774,27.199195861816406,1.5584933095691729,27.255827833265446,XGBoost,1.5492065629351799,27.21472278900059,1.078924922748103,0.4702816401870768,2.294210172268068
20178.0,38.015184091015335,142.737283634049,152.337015177881,18.387051867112948,152.6579487093486,0.3,1.6701116561889648,29.471302032470703,1.7190313999994435,29.944511176488664,XGBoost,1.687979448885534,29.59452806504676,1.2170804812187477,0.4708989676667862,2.5845894019457027
22356.0,41.71699579277995,140.22725512534234,161.42896123743034,19.368152506629098,135.15175305494927,0.3,1.4793314933776855,26.452383041381836,1.4651912317799236,26.17298897783812,XGBoost,1.469423689515716,26.352521027809345,1.008072382424177,0.46135130709153904,2.1850428663122012
22799.0,39.024342551548834,143.12535750477153,155.7540073019235,18.260411191542754,153.3489440678209,0.3,1.650009036064148,29.05813980102539,1.6932074620784108,29.517629443914092,XGBoost,1.6591502528231632,29.145834652501527,1.1892469689726046,0.4699032838505587,2.5308334924316376
23077.0,44.57603728972943,138.74197550747607,161.8614420694521,18.53488758880617,135.23542871987706,0.3,1.467774510383606,26.277114868164062,1.4506406164761687,26.043681465954112,XGBoost,1.4534649177396637,26.24263219800302,0.9950935576123597,0.45837136012730384,2.170933099607252
24111.0,35.16096111593682,142.82536629450456,156.09362265305742,18.341903803518225,137.63693175052472,0.3,1.5669728517532349,27.373260498046875,1.5723687199971668,27.435883165494577,XGBoost,1.5589379548758067,27.3454846873536,1.0880378994056235,0.47090005547018315,2.3105495248227186
25207.0,43.14115229414138,143.08735531463964,153.40000433538907,18.43595419548125,146.34058466533287,0.3,1.6211566925048828,28.410463333129883,1.6378359762414072,28.715843712458042,XGBoost,1.6131045462847395,28.472823064153996,1.1454587228368271,0.4676458234479123,2.4494150602938327
25215.0,35.12629620994715,141.64030453899767,155.4984508896752,18.845313184432015,135.10143065409812,0.3,1.5474332571029663,27.082311630249023,1.5472580587253093,27.13133769848176,XGBoost,1.5409948633986663,27.125223761612048,1.0716080975415134,0.4693867658571529,2.2829959757911724
25851.0,37.88476614357324,143.09085310721076,153.34456730352073,19.88730077300091,136.8507970846562,0.3,1.5690423250198364,27.390945434570312,1.5792404151883082,27.632663886811958,XGBoost,1.564770356803975,27.512736749581983,1.0950630013703655,0.4697073554336094,2.3313729042191818
26469.0,41.66670201808833,143.08758271810365,153.43438133063003,18.514349005733273,146.68385215492933,0.3,1.6259199380874634,28.610689163208008,1.6463619863146932,28.8260949321317,XGBoost,1.6208266898980088,28.564569647794315,1.1524573531213564,0.4683693367766523,2.460573873286927
28765.0,36.045638217968346,142.23526510400114,155.66182326667195,18.176741322777005,143.32635004571333,0.3,1.5890976190567017,27.876264572143555,1.6169387147558214,28.272786287585465,XGBoost,1.5941988675112824,28.047458483263842,1.1249599101907757,0.46923895732050663,2.3974137113734755
29905.0,35.1654741351836,143.13432614400836,155.41640307143228,20.315099812461977,139.5715812362105,0.3,1.5749343633651733,27.644832611083984,1.5921443638516983,27.84796496486908,XGBoost,1.5724775232562784,27.66950163674385,1.103195595435441,0.46928192782083733,2.3508162791570775
25.0,36.94638707851968,143.14704293010658,153.28769635986117,19.05903772461218,139.79256505088512,0.3,1.580902338027954,27.796655654907227,1.6100429940886527,28.087070884433647,RSM,1.590161134548685,27.896157966429314,1.1195330612995211,0.47062807324916384,2.37880637585087
