Parameter,XGBoost,RSM,Absolute_Difference
L1_mm,35.198790826653195,37.2232892758528,2.024498449199605
L3_mm,141.20011155442333,142.9035839494288,1.7034723950054627
L4_mm,156.438409437134,152.15082622065555,4.287583216478453
theta1_deg,18.235459259353046,18.64548159570414,0.4100223363510942
theta2_deg,141.35498522336897,135.05408383603205,6.300901387336921
