candidate_id,L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_XGB,Delta_BF_XGB,BF_RSM,Delta_BF_RSM
0,42.739560485559636,139.88562736842886,160.28601467190649,29.476782760699415,147.1090207737138,0.3,1.5245514,28.089396,1.5398812084269267,28.183841802870052
1,39.388784397520524,140.25508185522406,159.33606691965088,19.9808568205875,149.64307960816313,0.3,1.5734296,28.503222,1.6088883274924197,28.57689491651534
2,43.58597919911382,143.07349691475818,160.65570572208867,32.87298095239169,153.1000884175828,0.3,1.5535651,28.797915,1.5893652117768178,28.93649374465358
3,41.97368029059364,138.57097045131727,161.47754179884097,23.84715778309598,135.69826759251237,0.3,1.4590808,26.598143,1.4458092141836594,26.29195064816619
4,35.9417734788765,138.70825563541294,157.64175772357768,37.1689931645021,140.88626581793872,0.3,1.4925451,27.698412,1.5165026110826147,28.24639820082429
5,44.756223516367555,140.32685170657038,159.4516273417454,18.504093492027174,150.99492180250527,0.3,1.5669402,28.413769,1.6080930065140495,28.55205472339969
6,42.61139701990353,138.99621827342375,156.90134765444537,29.289005707791805,150.99559660542945,0.3,1.5706067,28.945724,1.5971758149625752,29.18927872331648
7,42.86064305276954,141.5741508032065,159.858148522785,32.07595487219171,146.55699900063715,0.3,1.5142255,28.102005,1.5409700373176531,28.218510822730853
8,36.28113632675546,139.95338766157852,157.36722956657775,26.616725466465596,136.24711190906288,0.3,1.5056152,27.104183,1.5057573501300245,27.16706345272026
9,39.503859378955674,142.38103732280643,159.3631481188892,37.30546125146414,146.73323302986415,0.3,1.5289322,28.400267,1.5545812732378135,28.65173523811202
10,38.70798024232581,141.89305274641578,154.750348386835,23.993283030840235,151.5018750984584,0.3,1.6259404,29.21067,1.6650888146784135,29.538026446678355
11,44.26764988848602,140.50403397299326,158.86919151327504,18.47087471675183,135.41319893815773,0.3,1.4721004,26.554895,1.4864067926834612,26.44331315480036
12,41.438651200806646,142.3748969578017,157.7854191959476,31.68767809121508,139.2400953752869,0.3,1.4929987,27.32632,1.5120295749308572,27.535420549252013
13,43.2276161327083,138.6540942249078,154.4983755160321,28.291017962159188,151.97721598222327,0.3,1.585216,29.228838,1.6235840863080235,29.59823913824737
14,39.43414198827331,141.05549502297615,158.85667452120492,30.167290858906536,139.68670335498874,0.3,1.4896884,27.284851,1.5085818284019648,27.475000605867333
15,37.27238721784777,141.17566483404906,155.70279013287148,29.05285815978983,136.1600308628786,0.3,1.505721,27.275711,1.5207350142077152,27.448155175088235
16,40.54584787015835,139.38010556914898,158.29007697390236,32.39991477894334,149.38329047557875,0.3,1.5474527,28.654743,1.5746120157204317,28.961360818091382
17,35.638172561041756,138.3981066324514,158.5825797963311,27.469313745877848,150.49496477111984,0.3,1.5782224,28.825846,1.6054160330726432,29.107164237942516
18,43.27631171992582,140.82599481231725,158.71214973090937,19.36535962011583,142.99013765346882,0.3,1.5298477,27.408169,1.5516970054215111,27.594242903962925
19,41.31664399122065,140.71838524779926,158.83598344781836,19.155125494515055,149.4265578708684,0.3,1.5758348,28.459988,1.610306888982397,28.53584751947476
20,42.58087740085374,141.41805879675246,156.17362016015602,18.60369561666829,146.42910097701107,0.3,1.5948194,28.340986,1.6084925048592886,28.407899398479604
21,38.54525968129868,139.21464370463517,158.24681125732786,37.28645921053303,139.9296987088458,0.3,1.4800051,27.63582,1.4951360546362067,27.918947818492587
22,44.70698024394903,139.048216808782,161.0674685822826,37.12967035170807,143.3198040688294,0.3,1.4680363,27.428217,1.4729045727830044,27.749806809110456
23,43.93121121322198,143.03957944677842,152.6811588867027,25.768646961954083,147.20775713863773,0.3,1.5826495,29.010742,1.6258519808774485,29.02011916458432
24,42.783834970737615,138.7184424764229,159.8319105571908,31.431203992706152,151.9923217451394,0.3,1.537834,28.730846,1.573281647497156,28.992376692163592
25,36.94638707851968,143.14704293010658,153.28769635986117,19.05903772461218,139.79256505088512,0.3,1.5809023,27.796656,1.6100429940886527,28.087070884433647
26,39.667210037270344,141.74988387076212,156.6558505881712,32.13971788745872,137.6029961242522,0.3,1.4994506,27.400568,1.511672977694766,27.546703839756862
27,35.438037657872286,141.29661119155134,153.64077394242076,27.124197067599454,152.36837963471106,0.3,1.6392206,29.421867,1.6866515589712132,30.055330870262825
28,36.54289492067548,139.8489174774299,159.82420278948695,27.97261539872502,154.0466898742221,0.3,1.5845944,28.96636,1.6273028248587647,29.373818336409062
29,41.830489532424544,142.48901551442594,152.37164053071612,20.029492521453474,136.04524536935307,0.3,1.5436137,27.308876,1.5605105926167924,27.471338370475028
30,42.44762155907817,142.70030806145104,159.01139066168028,25.81572148660711,154.24562227269953,0.3,1.5896595,28.915236,1.634341194640311,29.178817231341423
31,44.675097324342104,141.75941999996903,156.01510211027954,21.65266226138417,149.84121355697948,0.3,1.5960187,28.671322,1.621915409301156,28.83887216241183
32,38.25825358138152,141.69944289588835,154.65051208393348,18.12970943624085,153.45990705389593,0.3,1.650632,29.344532,1.699176644317233,29.7293079801702
33,38.70459706034869,140.61577316420727,161.60461068660518,26.258774099222084,135.4959978441913,0.3,1.4653746,26.6498,1.4573295353026499,26.401410961669317
34,39.69555811275808,138.53917432680282,154.92061779554047,20.08418856528685,153.84168590759128,0.3,1.6186365,29.340454,1.672227724557839,29.76771876079893
35,36.894713590842855,143.145145220223,154.11703468577116,21.707280895789104,138.62281936886757,0.3,1.5736072,27.579391,1.5865931735221666,27.85933164240956
36,36.299215053354715,138.22777690614006,156.31464450868222,24.15387198404143,136.583157147837,0.3,1.5001585,27.276278,1.5124694263042198,27.274559011863754
37,39.757049262259336,140.62698699692837,155.02244901857318,27.06651039293965,152.22005562379186,0.3,1.5967535,29.256142,1.6493253686354876,29.648427559862657
38,37.269093490508844,139.9856715634393,159.27808874267066,22.81607679830033,150.9146344614073,0.3,1.5832869,28.724436,1.617252288382455,28.874666733013942
39,41.6981399468251,142.03066179345112,152.30159209243243,37.05310738927149,143.94926396522317,0.3,1.542516,28.593523,1.585353188635207,29.173153114665997
40,39.371519188723305,141.82890181904307,158.92058320459552,36.38592452283349,151.95659051220304,0.3,1.5597482,28.970825,1.5998305225272964,29.38381843348098
41,43.32678196057837,141.29024853735194,156.22110139809496,22.967589293903444,152.67273950564447,0.3,1.6042261,28.922441,1.642396496638662,29.27906263142243
42,42.00265102002249,138.52369271311187,159.83935714488115,26.97463757100173,135.18427149034332,0.3,1.4521105,26.679068,1.4467903296448799,26.491415462337518
