candidate_id,L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_XGB,Delta_BF_XGB,BF_RSM,Delta_BF_RSM,BF_gain_norm,Delta_gain_norm,Compromise_Score
25,36.94638707851968,143.14704293010658,153.28769635986117,19.05903772461218,139.79256505088512,0.3,1.5809023,27.796656,1.6100429940886527,28.087070884433647,1.0,0.040574649185609254,0.5202873245928046
797,36.65487757581775,142.91462836270597,155.81824077863268,18.980886407390194,136.52329708635486,0.3,1.5474263,27.228786,1.5595606352534062,27.27652619692667,0.01529554179163807,1.0,0.507647770895819
3227,36.948376864813916,142.45058507726617,152.5130303681178,18.42346349233346,135.6837031692999,0.3,1.5523487,27.291653,1.5800649608714634,27.57126010326687,0.4152511166599,0.6511294369751737,0.5331902768175368
6488,35.20543034528144,141.54401477741183,154.29267891142655,18.44926489591159,135.4740547179104,0.3,1.5540745,27.281412,1.5617642859086618,27.341003304850478,0.05827975795407601,0.9236797516006625,0.49097975477736927
6691,35.58789661567016,142.922132592727,155.75289836775315,18.672470495139518,137.77203314269943,0.3,1.5541312,27.401266,1.5750744109586532,27.49599832469408,0.3179058883179846,0.7402152818681987,0.5290605850930916
8583,35.018748478732526,142.30875476726777,154.50345355630603,20.614978402458664,135.7384365692836,0.3,1.5427215,27.364473,1.5631212621099633,27.414975936225762,0.08474881657047484,0.8361198441683106,0.46043433036939274
10528,36.09457127542794,143.14341334398503,154.398907574108,19.441259319931067,139.9509075946399,0.3,1.5782869,27.770735,1.6034919516039343,27.995346260294443,0.8722159405889205,0.14914723136333913,0.5106815859761298
11315,37.2232892758528,142.9035839494288,152.15082622065555,18.64548159570414,135.05408383603205,0.3,1.5463364,27.233484,1.5798634183133973,27.529830771332374,0.41131984522121495,0.7001684991489253,0.5557441721850701
11743,37.9045471814512,142.1163735631137,153.08428031790035,18.78254963392713,135.48577949465326,0.3,1.542776,27.246748,1.5662291959787225,27.42907974277779,0.14537190168366837,0.819425453646033,0.4823986776648507
12241,37.229113240154476,142.73765625037197,153.298606461997,18.508601640313945,137.51667993587014,0.3,1.5618925,27.558376,1.588668045734559,27.73050014395778,0.5830621344984788,0.46264022193450394,0.5228511782164913
14473,35.321718236508126,142.4309283181078,152.4097485570892,18.515099370921376,136.9523136821229,0.3,1.569773,27.551992,1.5976176783016367,27.83469976639633,0.7576328814179976,0.33930123661548356,0.5484670590167405
15086,36.467337209814836,142.61198713584793,152.03749007019178,18.734525990597444,135.5588842985787,0.3,1.5552607,27.393793,1.585769716506415,27.64456152216032,0.5265275790981816,0.5643640301802078,0.5454458046391947
21178,35.1804507839428,142.87191602743553,152.6823690931555,19.784661182114288,138.48325529926487,0.3,1.5721495,27.785763,1.6085100170037165,28.05918915685891,0.9700978836033718,0.07357768612115545,0.5218377848622636
22502,35.87830171982813,142.37601837206125,153.42558293021452,18.68603001094141,139.38162885398017,0.3,1.5609882,27.741951,1.605181800075886,28.03151451159449,0.9051779764846277,0.10633560391486191,0.5057567901997448
23092,35.593906104732035,143.1358406176119,158.33191239586864,18.881833288002575,143.49864865703302,0.3,1.5482966,27.570234,1.5990817924736889,27.957949468581145,0.7861917638832759,0.19341305724793045,0.4898024105656032
24111,35.16096111593682,142.82536629450456,156.09362265305742,18.341903803518225,137.63693175052472,0.3,1.5669729,27.37326,1.5723687199971668,27.435883165494577,0.2651289180301076,0.8113723797965613,0.5382506489133344
24922,40.92214789200693,142.89767441919938,152.4551653799524,18.08909761709431,138.28144396065113,0.3,1.5685759,27.606482,1.589629271483827,27.800196982992336,0.6018117195513062,0.38014148340467113,0.49097660147798866
28444,36.66665184084377,143.01384144825406,156.95020526074416,19.682771487258087,138.5058330846299,0.3,1.5392045,27.344833,1.5641810043026787,27.421540543108694,0.10542005471772636,0.8283494517905778,0.46688475325415213
29757,36.2961344787823,142.88935002396178,152.76178245539035,19.120043234907072,136.1872076063435,0.3,1.5544068,27.456158,1.5860213004848656,27.65774960746349,0.5314349540883737,0.5487535603768937,0.5400942572326337
