candidate_id,L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_XGB,Delta_BF_XGB,BF_RSM,Delta_BF_RSM,BF_gain_norm,Delta_gain_norm,Compromise_Score
35,36.894713590842855,143.145145220223,154.11703468577116,21.707280895789104,138.62281936886757,0.3,1.5736072,27.579391,1.5865931735221666,27.85933164240956,0.41475183,0.7244566,0.5696042
12445,36.629942787861566,143.12826335576815,152.036672257905,18.149762179978943,139.7045384544791,0.3,1.5874947,27.832422,1.6242529601626416,28.242343732397106,0.8031268,0.3862203,0.5946736
14471,35.198790826653195,141.20011155442333,156.438409437134,18.235459259353046,141.35498522336897,0.3,1.5845191,27.69882,1.5890799961459439,27.90247499406671,0.7199124,0.5648116,0.642362
14473,35.321718236508126,142.4309283181078,152.4097485570892,18.515099370921376,136.9523136821229,0.3,1.569773,27.551992,1.5976176783016367,27.83469976639633,0.30752423,0.761082,0.5343031
16734,38.902630841859356,142.78566582517013,152.45758899760963,18.474470238166866,142.86245059195437,0.3,1.5945345,28.106705,1.6335121123934946,28.543486357553565,0.9999997,0.019576048,0.50978786
24111,35.16096111593682,142.82536629450456,156.09362265305742,18.341903803518225,137.63693175052472,0.3,1.5669729,27.37326,1.5723687199971668,27.435883165494577,0.22921716,1.0000001,0.61460865
24775,36.530192093912724,143.10406315010258,155.56529172989747,23.202933529727424,141.37775545065628,0.3,1.585119,27.806644,1.5932011841524272,28.096787136456218,0.736688,0.42067853,0.57868326
25512,41.84574726917969,141.78074228500853,156.3453847070175,18.589381326169903,143.04635275512402,0.3,1.5784006,27.692038,1.5839819526155652,27.941888060192813,0.54880303,0.5738781,0.5613406
25851,37.88476614357324,143.09085310721076,153.34456730352073,19.88730077300091,136.8507970846562,0.3,1.5690423,27.390945,1.5792404151883082,27.632663886811958,0.28709152,0.9763599,0.6317257
27497,41.669895195905,142.6828099450024,152.12046595328727,18.351702356739864,141.31979951595838,0.3,1.5903381,27.897814,1.6117349390841746,28.246025274140965,0.88264406,0.29880884,0.59072644
28765,36.045638217968346,142.23526510400114,155.66182326667195,18.176741322777005,143.32635004571333,0.3,1.5890976,27.876265,1.6169387147558214,28.272786287585465,0.8479528,0.32761455,0.5877837
29905,35.1654741351836,143.13432614400836,155.41640307143228,20.315099812461977,139.5715812362105,0.3,1.5749344,27.644833,1.5921443638516983,27.84796496486908,0.45186678,0.63697886,0.5444228
