Variable,mu_star,mu_star_conf,sigma,mu
theta2_deg,0.8416280711116947,0.051994501482289325,0.26995611974964145,0.8416280711116947
L4_mm,0.4911609097724866,0.032247069404013604,0.16899591861117966,-0.4911609097724866
theta1_deg,0.2960419867876608,0.01970989681477384,0.10339772395836588,-0.2960419867876608
L1_mm,0.2054554030301415,0.013146253405189115,0.06709867211674136,-0.2054554030301415
L3_mm,0.1559615047205666,0.009969595799038502,0.05052910094195631,0.1559615047205666
