Variable,S1,S1_conf,ST,ST_conf
theta2_deg,0.6408969174294694,0.0600193126734893,0.6419987188942728,0.0483541985223244
L4_mm,0.21408188653959834,0.044479205559269104,0.21518540504494996,0.01742432753281017
theta1_deg,0.08330760092604715,0.02364314517854923,0.08377038997937825,0.007400589506867145
L1_mm,0.03781419258804518,0.015913764744310974,0.038236841873136425,0.0035461489209625122
L3_mm,0.022915472362189413,0.011561808842224507,0.02272628561481884,0.0019073170002118535
