candidate_id,L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_XGB,Delta_BF_XGB,BF_RSM,Delta_BF_RSM,BF_physical,Delta_BF_physical,Physical_Pareto,XGB_Pareto,RSM_Pareto,Physical_WinWin,XGB_WinWin,RSM_WinWin
91,36.71817095805044,142.60480637777653,152.46030841006592,18.22243970757231,150.36997698710027,0.3,1.648406,29.35216,1.7044000173216407,29.67265187158363,1.6740794291631298,29.335266275319356,True,False,True,False,False,False
240,44.90179831209389,138.237264757394,161.93862294418295,20.331074692361653,135.5144428967637,0.3,1.4470258,26.390814,1.443030184428801,26.08001783473161,1.4458845535064786,26.271707960223168,True,False,True,False,False,False
583,35.833048452435904,142.52329192856476,152.7733464105334,18.784525014890946,154.12548392869056,0.3,1.665527,29.60146,1.7348186477111898,30.18191677276091,1.7007058205671304,29.793986414533535,True,False,True,False,False,False
801,36.059758891806844,142.99602182100634,155.58191267669278,18.560935765439183,147.33191617948984,0.3,1.6075237,28.560888,1.654912452664719,28.84993473161426,1.6259810320210735,28.546818157091252,True,False,True,False,False,False
1271,38.5019980182503,142.19594695135436,155.0953226022441,18.220928532376277,151.8029978070905,0.3,1.6411307,29.136444,1.6830109726367,29.43191642443291,1.6508534195868259,29.07176354929103,True,False,False,False,False,False
1516,35.92739419173198,142.5734969982671,153.69088049006052,18.780633412953236,147.48326183585573,0.3,1.6183478,28.73866,1.6708600145525452,29.14413462924738,1.6418510864275233,28.827773028235278,True,False,True,False,False,False
1620,40.70925591830565,142.62398313415432,159.79025199048542,18.09068725013837,135.39288784619765,0.3,1.4875438,26.590687,1.502538663120395,26.457495002072665,1.5005654788282272,26.552779363745714,True,False,True,False,False,False
2522,38.81210196977181,143.04813250241867,153.5981071981477,18.928690745416603,137.27182822421545,0.3,1.5468165,27.39255,1.5788211987218022,27.606380289369017,1.5648427690175857,27.4974458093461,True,False,True,True,False,True
2678,35.44077643666728,142.9654690287358,154.3072516823632,18.40772744992494,141.63456342349807,0.3,1.5826904,27.995275,1.6221371045257627,28.251497414628783,1.59961085617218,28.032297458915707,True,False,True,True,True,False
2938,36.645913951126616,142.2944875605083,152.32934711544695,18.001153203748274,137.17626641043373,0.3,1.5690466,27.54708,1.5951563112175546,27.817604970432942,1.5811269117414537,27.699845752943574,True,False,True,True,True,True
3992,37.26133603994631,141.94048053345674,157.7693294679359,18.29571508197177,136.94237119928167,0.3,1.5164562,26.971992,1.5380965326848202,27.03139978981199,1.5307445327945635,27.022943873749618,True,False,False,False,False,False
4212,35.866983457497646,142.50965775328228,155.35413925517454,19.029190111407154,149.28888902032466,0.3,1.6138527,28.820356,1.6697171625409828,29.163990719792512,1.638884748254142,28.826504859408473,True,False,False,False,False,False
4482,35.53107257799468,142.2400022427605,152.23155934476287,18.40839332219164,144.29917318494336,0.3,1.6030663,28.393885,1.6582669654643643,28.910838489303952,1.6328038725281164,28.637469737978634,True,False,True,False,False,False
4835,35.80359701815248,142.71107953854764,158.3420157104361,18.374940669289302,135.7054343246673,0.3,1.5070196,26.829157,1.5320955212546084,26.82860453488617,1.5271809826108245,26.85988098189709,True,False,True,False,False,False
4908,38.19387578603862,142.52864522678422,153.0315987383991,18.25650494305576,142.21815440782925,0.3,1.5878171,28.025246,1.6250281333371293,28.39901696463639,1.603531074795837,28.182029019990434,True,False,False,False,True,False
5046,40.58074953116635,142.68770225066058,157.9318278519067,18.116631296660376,135.16206924635736,0.3,1.4984165,26.66356,1.5173854379027292,26.6625752260699,1.5133679663428117,26.720087532537264,True,False,True,False,False,False
5295,37.077057107805274,143.0015964382032,153.3896945224422,18.26333836139125,139.97941804982995,0.3,1.5679992,27.75089,1.6111293289501165,28.079745993473228,1.5916763404199847,27.896447204237163,True,False,True,True,True,True
5694,35.497622651092044,142.6944917375076,160.15925777240878,18.64339126478401,136.67094859582784,0.3,1.499137,26.751497,1.5229147502714344,26.73362621592379,1.519005235472315,26.783917012258286,True,False,True,False,False,False
6120,35.91764109304493,143.04191040605173,154.9335137945816,18.032803359628602,153.49696518119055,0.3,1.6535487,29.353367,1.7145857492672798,29.769908098667994,1.6793911845364151,29.384181154137494,True,False,True,False,False,False
6486,35.16093864675793,143.1032853354277,153.27021905113986,18.25902000966235,148.93441282407113,0.3,1.6369284,28.882442,1.694894856156567,29.42478491463707,1.66373285546074,29.089931663830054,True,True,True,False,False,False
6643,37.977780369018106,143.02333116668245,156.27704572265,18.02878979304874,135.9905831402682,0.3,1.5388278,27.028706,1.549699710555704,27.083477843598065,1.540865000419171,27.058842149446093,True,True,True,False,False,False
6670,38.01005687587216,142.78274408742283,152.75648539505093,19.219463895327255,146.97260446706696,0.3,1.6188821,28.820236,1.6664151027896712,29.126619837763183,1.6392160433270049,28.82757839921661,True,False,False,False,False,False
7404,37.50428070462161,142.72060226945877,160.1011435217284,19.12728216622341,135.87524032730917,0.3,1.4960259,26.746391,1.5101967020985385,26.5847399119388,1.507984150086091,26.659956270891183,True,False,True,False,False,False
7687,44.92653962178336,142.6977386561752,161.49274819176878,24.944638283547096,135.0792004861559,0.3,1.4677018,26.348246,1.4536798928968788,26.16132357780589,1.45440917110722,26.325414110068184,True,True,True,False,False,False
8143,35.7702775785472,142.99039938563058,152.6127729334286,18.28736224381624,153.25804716859267,0.3,1.6637626,29.544405,1.7335178202227688,30.079427363089398,1.7000630268612784,29.70883000207289,True,False,True,False,False,False
8766,36.20626163022757,142.80651787191437,153.44758952329258,20.385017314934764,148.29026003392602,0.3,1.6155406,28.93757,1.6760108134744671,29.307752269754264,1.64579523772791,28.970362378742394,True,False,False,False,False,False
8802,38.18633241076461,142.82511509405975,152.86935094507132,18.045416474505842,135.58507834114494,0.3,1.5503131,27.35591,1.574782873898418,27.463187555719042,1.5642111253981061,27.397925109977333,True,False,False,True,False,True
