candidate_id,L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_XGB,Delta_BF_XGB,BF_RSM,Delta_BF_RSM,BF_physical,Delta_BF_physical,Physical_Pareto,XGB_Pareto,RSM_Pareto,Physical_WinWin,XGB_WinWin,RSM_WinWin
167,41.97025358376587,139.6998761998256,161.7827742340375,18.187907519119857,135.41964375235062,0.3,1.4701967,26.49224,1.4645709433651377,26.147936466294215,1.4685199791212424,26.331553891323843,True,False,True,False,False,False
185,36.669390819726075,142.95103801467585,155.80041447465874,18.410573698112874,143.1395607870456,0.3,1.5854611,27.8327,1.6159539760723738,28.214972231505595,1.5928676951952152,27.99130541670435,True,False,True,True,True,False
335,36.25133234594402,143.06800635985493,154.67104392585685,18.55600402597981,151.4067066960643,0.3,1.6281592,29.086105,1.6968872277357616,29.52301969843931,1.6639310956665454,29.162984028523997,True,False,True,False,False,False
681,37.403151305806304,142.03266517342846,153.13168237215046,18.241167224582654,138.7910415910709,0.3,1.5667229,27.603039,1.5957576592969764,27.91704005095423,1.5798783565705246,27.77420826218528,True,False,True,True,True,True
732,35.71943322174779,142.5203974702469,156.13771876660826,18.30965246393724,136.8074414172151,0.3,1.5570059,27.192715,1.5610625632361956,27.286208789381806,1.5503582554700208,27.229594955589864,True,True,True,False,False,True
1182,37.01069826094894,142.58693783509966,159.67354241577561,18.129849151133307,137.440474977226,0.3,1.5043471,26.93523,1.5303345210452282,26.86541933182342,1.523744407502416,26.879679400487028,True,False,True,False,False,False
2091,35.56841165164578,142.8268884913083,155.0262744051459,18.44591203680149,154.47495044174144,0.3,1.6517445,29.37807,1.7209089034785552,29.907145247981678,1.6845919164587577,29.50295349025282,True,False,True,False,False,False
2203,36.115636847512384,141.96035453649506,152.5144392130403,18.4020471887463,140.80431884707534,0.3,1.5822133,27.889532,1.6222736427730928,28.34453241613362,1.6021312339111948,28.140693208350235,True,False,True,False,True,False
3237,36.141325115672586,143.0514662009843,157.04422597370197,18.375079771223444,153.75536148553317,0.3,1.6206387,29.044708,1.6955490828164916,29.50109079862744,1.65968823086842,29.111543072261277,True,False,True,False,False,False
3342,36.8508631424756,143.04917213920893,161.0126451424279,20.150916024644967,135.58110929106792,0.3,1.4953113,26.713388,1.500556642755626,26.456634169303218,1.5002138198344277,26.56064325852071,True,False,True,False,False,False
4005,35.292471837097246,141.38450483939914,152.20619666522546,18.278468257965166,154.4342785596245,0.3,1.6722151,29.54919,1.7395677247226762,30.331407325846452,1.7056831309508165,29.935190164825087,True,True,True,False,False,False
4688,36.02555170118881,143.04491251528697,160.45302542958908,18.033268990624347,136.17072199037094,0.3,1.4948466,26.730698,1.5186875329514447,26.60898465403186,1.5160551598470258,26.68258229080135,True,False,True,False,False,False
4904,36.68698605743778,143.0243010217068,153.59229818497488,19.119816704476072,148.95239452311412,0.3,1.6169847,28.924273,1.6827495693867744,29.335118086647373,1.6524966871023528,29.003383460629458,True,False,True,False,False,False
