Method,Physical_Pareto_mean,Physical_Pareto_std,Surrogate_Pareto_mean,Surrogate_Pareto_std,Pareto_TP_mean,Pareto_TP_std,Pareto_Precision_mean,Pareto_Precision_std,Pareto_Recall_mean,Pareto_Recall_std,Pareto_F1_mean,Pareto_F1_std,Physical_WinWin_mean,Physical_WinWin_std,Surrogate_WinWin_mean,Surrogate_WinWin_std,WinWin_TP_mean,WinWin_TP_std,WinWin_Precision_mean,WinWin_Precision_std,WinWin_Recall_mean,WinWin_Recall_std,WinWin_F1_mean,WinWin_F1_std
XGBoost,81.4,5.029910535983717,51.6,5.079370039680118,12.8,1.4832396974191326,0.25122992979846065,0.04565994174197069,0.15802120164941053,0.02364078578428548,0.19366778534476092,0.030423704602845228,1049.6,22.645087767549057,547.4,25.803100588882725,380.4,20.044949488586894,0.6954162750282118,0.03326667339753492,0.36255928322724357,0.020588834323066137,0.47653192841265823,0.024429408094682532
RSM,81.4,5.029910535983717,91.4,4.979959839195493,63.0,5.0990195135927845,0.6887573919171492,0.02887293349706388,0.7741242950915468,0.04492673867291623,0.7286181306409775,0.032020713520676584,1049.6,22.645087767549057,1491.4,26.015380066414558,387.4,15.076471735787521,0.2596972095978436,0.006448372437381813,0.369235401665996,0.016487065845276976,0.3048632887503781,0.009256379630561903
