Method,TP,FP,FN,TN,Precision,Recall,F1
XGBoost,13,32,63,29892,0.28888888888888886,0.17105263157894737,0.21487603305785125
RSM,63,29,13,29895,0.6847826086956522,0.8289473684210527,0.7499999999999999
