Neighborhood,Method,Pairs,BF_inversions,BF_inversion_rate_percent,Delta_BF_inversions,Delta_BF_inversion_rate_percent,Any_objective_inversion,Any_inversion_rate_percent
closest_10pct,XGBoost,29945,14586,48.709300384037405,6854,22.888629153447987,18082,60.38403740190349
closest_10pct,RSM,29945,13667,45.64034062447821,2890,9.651026882618133,15159,50.6228084822174
closest_1pct,XGBoost,2945,1137,38.607809847198645,693,23.531409168081495,1505,51.10356536502547
closest_1pct,RSM,2945,560,19.015280135823428,282,9.575551782682513,728,24.719864176570457
closest_5pct,XGBoost,14945,7154,47.868852459016395,3782,25.306122448979593,9082,60.7694881231181
closest_5pct,RSM,14945,6103,40.83640013382402,1669,11.167614586818335,6978,46.69120107059217
