Neighborhood,N,Method,Spearman_BF,Spearman_Delta_BF
Closest 1%,300,XGBoost,0.9871011900132222,0.9953608373426371
Closest 1%,300,RSM,0.9988088756541739,0.9994533272591917
Closest 5%,1500,XGBoost,0.9866370785053683,0.9947627638945619
Closest 5%,1500,RSM,0.9986905238624552,0.9995061224471656
Closest 10%,3000,XGBoost,0.9860420263333501,0.9945567247261057
Closest 10%,3000,RSM,0.9985260691695632,0.9994943790549309
