Neighborhood,Method,Pairs,BF_inversions,BF_inversion_rate_percent,Delta_BF_inversions,Delta_BF_inversion_rate_percent,Any_inversion_rate_percent
closest_10pct,XGBoost,1476,721,48.84823848238483,66,4.471544715447155,51.016260162601625
closest_10pct,RSM,1476,645,43.69918699186992,16,1.084010840108401,44.3089430894309
closest_1pct,XGBoost,1281,497,38.79781420765027,240,18.735362997658083,49.64871194379391
closest_1pct,RSM,1281,224,17.48633879781421,94,7.338017174082748,23.02888368462139
closest_5pct,XGBoost,1444,713,49.37673130193906,109,7.548476454293629,52.97783933518006
closest_5pct,RSM,1444,563,38.988919667590025,26,1.8005540166204987,40.02770083102493
