candidate_id,L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_XGB,Delta_BF_XGB,BF_RSM,Delta_BF_RSM,BF_physical,Delta_BF_physical,Physical_Pareto,XGB_Pareto,RSM_Pareto,Distance_to_Physical_Pareto
0,42.73956048555964,139.88562736842886,160.28601467190649,29.47678276069941,147.1090207737138,0.3,1.5245514,28.089396,1.5398812084269269,28.18384180287005,1.5184513541701796,27.946287967776133,False,False,False,0.18828945047347223
1,39.38878439752053,140.25508185522406,159.33606691965088,19.9808568205875,149.6430796081631,0.3,1.5734296,28.503222,1.6088883274924195,28.57689491651534,1.580530636681451,28.257176152361907,False,False,False,0.06534468470482904
2,43.58597919911382,143.07349691475818,160.65570572208867,32.87298095239169,153.1000884175828,0.3,1.5535651,28.797915,1.5893652117768178,28.93649374465358,1.563751804074215,28.68701067757973,False,False,False,0.17872691380153044
3,41.97368029059364,138.5709704513173,161.47754179884095,23.84715778309598,135.69826759251237,0.3,1.4590808,26.598143,1.4458092141836594,26.29195064816619,1.4502254167693946,26.44981530320293,False,False,False,0.04885378105961193
4,35.9417734788765,138.70825563541294,157.64175772357768,37.1689931645021,140.88626581793872,0.3,1.4925451,27.698412,1.5165026110826147,28.24639820082429,1.4944529867366083,27.96424443112325,False,False,False,0.24839493940967255
5,44.75622351636756,140.32685170657038,159.4516273417454,18.50409349202717,150.99492180250527,0.3,1.5669402,28.413769,1.6080930065140495,28.55205472339969,1.5743548339488078,28.208768141936584,False,False,False,0.07175750994738331
6,42.61139701990353,138.99621827342375,156.90134765444537,29.289005707791805,150.99559660542943,0.3,1.5706067,28.945724,1.5971758149625752,29.18927872331648,1.568209763037665,28.808966776422118,False,False,False,0.18295580634685596
7,42.86064305276954,141.5741508032065,159.858148522785,32.07595487219171,146.55699900063715,0.3,1.5142255,28.102005,1.5409700373176531,28.218510822730853,1.5201567866641748,28.008635682996136,False,False,False,0.1960053663574453
8,36.28113632675546,139.95338766157852,157.36722956657775,26.6167254664656,136.24711190906288,0.3,1.5056152,27.104183,1.5057573501300243,27.16706345272026,1.497693740248257,27.11544163496976,False,False,False,0.09322510758793755
9,39.50385937895568,142.38103732280643,159.3631481188892,37.30546125146414,146.73323302986415,0.3,1.5289322,28.400267,1.5545812732378137,28.65173523811202,1.5306063373959784,28.40112978187032,False,False,False,0.22119218039984936
10,38.70798024232581,141.89305274641578,154.750348386835,23.993283030840235,151.5018750984584,0.3,1.6259404,29.21067,1.6650888146784135,29.538026446678355,1.6335073190528095,29.158224189737343,False,False,False,0.06593185424732316
11,44.26764988848602,140.50403397299326,158.86919151327504,18.47087471675183,135.41319893815773,0.3,1.4721004,26.554895,1.4864067926834612,26.44331315480036,1.4841629764021418,26.554858488147424,False,False,False,0.03264305354294937
12,41.438651200806646,142.3748969578017,157.7854191959476,31.68767809121508,139.2400953752869,0.3,1.4929987,27.32632,1.5120295749308572,27.535420549252013,1.4957766037641331,27.40069816082304,False,False,False,0.15063749059522405
13,43.2276161327083,138.6540942249078,154.4983755160321,28.291017962159188,151.97721598222327,0.3,1.585216,29.228838,1.6235840863080235,29.59823913824737,1.5935382323118412,29.19133293220184,False,False,False,0.1673996946795357
14,39.43414198827331,141.05549502297615,158.85667452120492,30.167290858906536,139.68670335498874,0.3,1.4896884,27.284851,1.5085818284019648,27.475000605867333,1.494367836396571,27.35026977655115,False,False,False,0.14494595709985308
15,37.27238721784777,141.17566483404906,155.70279013287148,29.05285815978983,136.1600308628786,0.3,1.505721,27.275711,1.5207350142077152,27.448155175088235,1.5060133272752776,27.31339651554136,False,False,False,0.11268230484945238
16,40.54584787015835,139.38010556914898,158.29007697390236,32.39991477894334,149.38329047557875,0.3,1.5474527,28.654743,1.5746120157204315,28.961360818091386,1.5480852688977036,28.61519448671136,False,False,False,0.19901393356058045
17,35.63817256104176,138.3981066324514,158.5825797963311,27.469313745877848,150.49496477111984,0.3,1.5782224,28.825846,1.6054160330726432,29.10716423794252,1.575286563487584,28.702916757621217,False,False,False,0.14940757032989005
18,43.27631171992582,140.82599481231725,158.71214973090937,19.36535962011583,142.99013765346882,0.3,1.5298477,27.408169,1.5516970054215111,27.594242903962925,1.5326489844229654,27.44517379953213,False,False,False,0.07476998320620398
19,41.31664399122065,140.71838524779926,158.83598344781836,19.15512549451505,149.4265578708684,0.3,1.5758348,28.459988,1.610306888982397,28.53584751947476,1.5812241563978475,28.224289145538645,False,False,False,0.057860324286895186
20,42.58087740085374,141.41805879675246,156.17362016015602,18.60369561666829,146.42910097701107,0.3,1.5948194,28.340986,1.6084925048592886,28.407899398479604,1.5830015938590072,28.153861009077023,False,False,False,0.04167193220869552
21,38.54525968129868,139.21464370463517,158.24681125732786,37.28645921053303,139.9296987088458,0.3,1.4800051,27.63582,1.4951360546362067,27.918947818492587,1.4780214367586295,27.711987867684343,False,False,False,0.2434180576619878
22,44.70698024394903,139.048216808782,161.0674685822826,37.12967035170807,143.3198040688294,0.3,1.4680363,27.428217,1.4729045727830044,27.749806809110456,1.461205890686701,27.637046114926296,False,False,False,0.26223340514758875
23,43.93121121322198,143.03957944677842,152.6811588867027,25.768646961954083,147.20775713863773,0.3,1.5826495,29.010742,1.6258519808774483,29.02011916458432,1.6015009918859149,28.75158343220751,False,False,False,0.08287504309352625
24,42.783834970737615,138.7184424764229,159.8319105571908,31.431203992706152,151.9923217451394,0.3,1.537834,28.730846,1.573281647497156,28.992376692163592,1.5453942866178558,28.629063703184592,False,False,False,0.20776888388095466
25,36.94638707851968,143.14704293010658,153.28769635986117,19.05903772461218,139.79256505088512,0.3,1.5809023,27.796656,1.6100429940886527,28.087070884433647,1.590161134548685,27.896157966429318,True,False,True,0.0
26,39.66721003727034,141.74988387076212,156.6558505881712,32.13971788745872,137.6029961242522,0.3,1.4994506,27.400568,1.511672977694766,27.546703839756866,1.4950289328853013,27.393155470659096,False,False,False,0.15087481657485702
27,35.438037657872286,141.29661119155134,153.64077394242076,27.124197067599454,152.36837963471106,0.3,1.6392206,29.421867,1.6866515589712132,30.055330870262825,1.650629721120842,29.609719172070143,False,False,False,0.08559949474063888
28,36.54289492067548,139.8489174774299,159.82420278948695,27.97261539872502,154.0466898742221,0.3,1.5845944,28.96636,1.6273028248587649,29.373818336409062,1.5938538048583002,28.94630317320887,False,False,False,0.13162581519871014
29,41.830489532424544,142.48901551442594,152.37164053071612,20.029492521453477,136.04524536935307,0.3,1.5436137,27.308876,1.5605105926167924,27.471338370475028,1.550332428422543,27.41172296964148,False,False,False,0.02703391854552388
30,42.44762155907817,142.70030806145104,159.01139066168028,25.81572148660711,154.2456222726995,0.3,1.5896595,28.915236,1.634341194640311,29.178817231341423,1.602289495592204,28.827365867793983,False,False,False,0.09243116373130272
31,44.6750973243421,141.75941999996903,156.01510211027954,21.65266226138417,149.84121355697948,0.3,1.5960187,28.671322,1.621915409301156,28.83887216241183,1.5935531953739837,28.539574113727102,False,False,False,0.0784194425371394
32,38.25825358138152,141.69944289588835,154.65051208393348,18.12970943624085,153.45990705389593,0.3,1.650632,29.344532,1.699176644317233,29.7293079801702,1.665489264835784,29.34053694254143,False,False,False,0.010825460527928307
33,38.70459706034869,140.61577316420727,161.60461068660518,26.258774099222084,135.4959978441913,0.3,1.4653746,26.6498,1.45732953530265,26.40141096166932,1.460574478114444,26.532925263071267,False,False,False,0.06097774077179134
34,39.69555811275808,138.53917432680282,154.9206177955405,20.08418856528685,153.84168590759128,0.3,1.6186365,29.340454,1.672227724557839,29.76771876079893,1.6373564733899904,29.317536984033545,False,False,False,0.0800346150792536
35,36.894713590842855,143.145145220223,154.11703468577116,21.707280895789104,138.62281936886757,0.3,1.5736072,27.579391,1.5865931735221666,27.85933164240956,1.5675494515683743,27.678523143916607,False,True,False,0.024695778708074108
