Method,TP,FP,FN,TN,Precision,Recall,F1
XGBoost,386,180,681,28753,0.6819787985865724,0.36176194939081535,0.47274954072259645
RSM,375,1100,692,27833,0.2542372881355932,0.3514526710402999,0.2950432730133753
