Neighborhood,candidate_A,candidate_B,BF_physical_A,BF_physical_B,Delta_physical_A,Delta_physical_B,BF_gap,Delta_gap,BF_inversion_XGB,BF_inversion_RSM,Delta_inversion_XGB,Delta_inversion_RSM,Pareto_involved
closest_1pct,23077,19233,1.4534649177396637,1.460835337058608,26.24263219800302,26.267807128221083,0.007370419318944332,0.025174930218064162,True,False,False,False,True
closest_1pct,23077,28278,1.4534649177396637,1.4711655641368315,26.24263219800302,26.35691938690855,0.01770064639716784,0.11428718890553213,True,False,False,False,True
closest_1pct,23077,11417,1.4534649177396637,1.4718463578404253,26.24263219800302,26.35891853340769,0.018381440100761592,0.11628633540466993,False,False,False,False,True
closest_1pct,23077,2782,1.4534649177396637,1.4748646867362332,26.24263219800302,26.314688613286712,0.02139976899656948,0.07205641528369355,True,False,False,False,True
closest_1pct,23077,21607,1.4534649177396637,1.475907564951631,26.24263219800302,26.4189104230384,0.022442647211967204,0.17627822503538226,False,False,False,False,True
closest_1pct,23077,26782,1.4534649177396637,1.4760354245627971,26.24263219800302,26.424443003108944,0.02257050682313344,0.1818108051059255,False,False,False,False,True
closest_1pct,23077,3784,1.4534649177396637,1.476467250312112,26.24263219800302,26.409345043628164,0.023002332572448214,0.16671284562514543,False,False,False,False,True
closest_1pct,23077,11106,1.4534649177396637,1.4776135506829866,26.24263219800302,26.43509636119633,0.024148632943322923,0.1924641631933106,False,False,False,False,True
closest_1pct,23077,22322,1.4534649177396637,1.4777596982503405,26.24263219800302,26.3882874732243,0.024294780510676794,0.14565527522128008,False,False,False,False,True
closest_1pct,23077,2666,1.4534649177396637,1.4781070734658468,26.24263219800302,26.4303045077442,0.024642155726183113,0.1876723097411812,False,False,False,False,True
closest_1pct,19233,28278,1.460835337058608,1.4711655641368315,26.267807128221083,26.35691938690855,0.010330227078223508,0.08911225868746797,False,False,False,False,True
closest_1pct,19233,11417,1.460835337058608,1.4718463578404253,26.267807128221083,26.35891853340769,0.01101102078181726,0.09111140518660577,False,False,False,False,True
closest_1pct,19233,2782,1.460835337058608,1.4748646867362332,26.267807128221083,26.314688613286712,0.014029349677625147,0.04688148506562939,False,False,False,False,True
closest_1pct,19233,21607,1.460835337058608,1.475907564951631,26.267807128221083,26.4189104230384,0.015072227893022871,0.1511032948173181,False,False,False,False,True
closest_1pct,19233,26782,1.460835337058608,1.4760354245627971,26.267807128221083,26.424443003108944,0.015200087504189108,0.15663587488786135,False,False,False,False,True
closest_1pct,19233,3784,1.460835337058608,1.476467250312112,26.267807128221083,26.409345043628164,0.015631913253503882,0.14153791540708127,False,False,False,False,True
closest_1pct,19233,11106,1.460835337058608,1.4776135506829866,26.267807128221083,26.43509636119633,0.01677821362437859,0.16728923297524645,False,False,False,False,True
closest_1pct,19233,22322,1.460835337058608,1.4777596982503405,26.267807128221083,26.3882874732243,0.016924361191732462,0.12048034500321592,False,False,False,False,True
closest_1pct,19233,2666,1.460835337058608,1.4781070734658468,26.267807128221083,26.4303045077442,0.01727173640723878,0.16249737952311705,False,False,False,False,True
closest_1pct,19233,19366,1.460835337058608,1.4792169442283818,26.267807128221083,26.437062156409947,0.018381607169773773,0.1692550281888643,False,False,False,False,True
closest_1pct,28278,11417,1.4711655641368315,1.4718463578404253,26.35691938690855,26.35891853340769,0.0006807937035937517,0.001999146499137794,False,True,False,True,False
closest_1pct,28278,2782,1.4711655641368315,1.4748646867362332,26.35691938690855,26.314688613286712,0.0036991225994016386,0.04223077362183858,True,True,True,False,True
closest_1pct,28278,21607,1.4711655641368315,1.475907564951631,26.35691938690855,26.4189104230384,0.004742000814799363,0.06199103612985013,False,False,False,False,False
closest_1pct,28278,26782,1.4711655641368315,1.4760354245627971,26.35691938690855,26.424443003108944,0.0048698604259656,0.06752361620039338,False,True,False,False,False
closest_1pct,28278,3784,1.4711655641368315,1.476467250312112,26.35691938690855,26.409345043628164,0.0053016861752803734,0.0524256567196133,False,True,False,False,False
closest_1pct,28278,11106,1.4711655641368315,1.4776135506829866,26.35691938690855,26.43509636119633,0.006447986546155082,0.07817697428777848,False,False,False,False,False
closest_1pct,28278,22322,1.4711655641368315,1.4777596982503405,26.35691938690855,26.3882874732243,0.006594134113508954,0.031368086315747945,False,False,False,False,False
closest_1pct,28278,2666,1.4711655641368315,1.4781070734658468,26.35691938690855,26.4303045077442,0.006941509329015272,0.07338512083564908,False,False,False,False,False
closest_1pct,28278,19366,1.4711655641368315,1.4792169442283818,26.35691938690855,26.437062156409947,0.008051380091550264,0.08014276950139632,False,False,False,False,False
closest_1pct,28278,17669,1.4711655641368315,1.4802444658284335,26.35691938690855,26.384897675221243,0.00907890169160197,0.027978288312692,False,False,False,False,True
closest_1pct,11417,2782,1.4718463578404253,1.4748646867362332,26.35891853340769,26.314688613286712,0.003018328895807887,0.044229920120976374,True,False,False,False,True
closest_1pct,11417,21607,1.4718463578404253,1.475907564951631,26.35891853340769,26.4189104230384,0.004061207111205611,0.059991889630712336,False,False,True,False,False
closest_1pct,11417,26782,1.4718463578404253,1.4760354245627971,26.35891853340769,26.424443003108944,0.004189066722371848,0.06552446970125558,False,False,True,False,False
closest_1pct,11417,3784,1.4718463578404253,1.476467250312112,26.35891853340769,26.409345043628164,0.004620892471686622,0.05042651022047551,True,False,True,False,False
closest_1pct,11417,11106,1.4718463578404253,1.4776135506829866,26.35891853340769,26.43509636119633,0.005767192842561331,0.07617782778864068,False,False,True,False,False
closest_1pct,11417,22322,1.4718463578404253,1.4777596982503405,26.35891853340769,26.3882874732243,0.005913340409915202,0.02936893981661015,True,False,False,False,False
closest_1pct,11417,2666,1.4718463578404253,1.4781070734658468,26.35891853340769,26.4303045077442,0.00626071562542152,0.07138597433651128,True,False,True,False,False
closest_1pct,11417,19366,1.4718463578404253,1.4792169442283818,26.35891853340769,26.437062156409947,0.0073705863879565126,0.07814362300225852,False,False,False,False,False
closest_1pct,11417,17669,1.4718463578404253,1.4802444658284335,26.35891853340769,26.384897675221243,0.008398107988008219,0.025979141813554207,False,False,True,False,True
closest_1pct,11417,56,1.4718463578404253,1.4818585066397034,26.35891853340769,26.45694951638421,0.010012148799278142,0.09803098297652113,False,False,False,False,False
closest_1pct,2782,21607,1.4748646867362332,1.475907564951631,26.314688613286712,26.4189104230384,0.0010428782153977245,0.10422180975168871,False,False,False,False,True
closest_1pct,2782,26782,1.4748646867362332,1.4760354245627971,26.314688613286712,26.424443003108944,0.0011707378265639612,0.10975438982223196,False,True,False,False,True
closest_1pct,2782,3784,1.4748646867362332,1.476467250312112,26.314688613286712,26.409345043628164,0.0016025635758787349,0.09465643034145188,False,False,False,False,True
closest_1pct,2782,11106,1.4748646867362332,1.4776135506829866,26.314688613286712,26.43509636119633,0.0027488639467534437,0.12040774790961706,False,False,False,False,True
