Variable,mu_star,mu_star_conf,sigma,mu
mu,0.9905308836290766,0.018495032982331846,0.09321627573905918,0.9905308836290766
theta2_deg,0.12658847700448767,0.01947960446948471,0.10021782843336839,0.12658847700448767
L4_mm,0.06578031796370426,0.009961129664660772,0.051283238706766605,-0.06578031796370426
theta1_deg,0.02864925665056117,0.004335833487088803,0.02233889601716546,0.02864925665056117
L1_mm,0.017560906674179862,0.002648940261504728,0.013770719026738975,-0.017560906674179862
L3_mm,1.7549132506957672e-15,3.150085122248247e-16,2.3183978372178086e-15,2.8490412505115694e-16
