Variable,mu_star,mu_star_conf,sigma,mu
mu,1.0017655031537207,0.009621633482145507,0.048548511812508875,1.0017655031537207
theta2_deg,0.056030864429488576,0.009388587290359332,0.04856520436624731,0.056030864429488576
L4_mm,0.03446041073099317,0.005441649081704122,0.027843014563280134,-0.03446041073099317
theta1_deg,0.018925081025602558,0.001855541749269662,0.009685075023536757,-0.018925081025602558
L1_mm,0.01449879681764738,0.0020143408579278693,0.010421995712647179,-0.01449879681764738
L3_mm,0.009564698299137541,0.0012848489138698573,0.006381063241219607,0.009564698299137541
