Variable,S1,S1_conf,ST,ST_conf
mu,0.9933961878912712,0.0753292256146798,0.9955703263352392,0.06556602816077894
theta2_deg,0.0022316798459010405,0.005826838780678036,0.004107386846674937,0.0005355414144974141
L4_mm,0.0009112176317476065,0.0028902661826459984,0.0013845039659734835,0.0002075854144874857
theta1_deg,0.00020507900129856726,0.0014789384514760596,0.0003203435774908825,3.084230856677488e-05
L1_mm,0.0001530358707985611,0.0013203843370442783,0.00020428206390350423,2.862053508399277e-05
L3_mm,-0.00011446108865607533,0.0009783218902078763,0.00010325040795870095,1.1587918274532913e-05
