Variable,S1,S1_conf,ST,ST_conf
mu,0.973889745374522,0.07509877119008658,0.9851364179203002,0.06244962757479898
theta2_deg,0.010498997410707141,0.012110992468006057,0.019887148859312503,0.0023060376264128794
L4_mm,0.0030206944395697603,0.006003887989490857,0.005374374025842924,0.0007137978167394381
theta1_deg,0.00014472272157451158,0.0025526364662290506,0.0010258697916463362,0.0001711825934748288
L1_mm,0.0002920058422545726,0.0016813421811782121,0.00032663362176842033,4.884731953102845e-05
L3_mm,-2.7584731399873704e-16,2.0543180601456517e-16,6.837941269956304e-30,6.9738681590976835e-31
