Model,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std
XGBoost,0.9989401839989563,0.00028148375281019056,0.020205514170472453,0.002800849290040601,0.013716535132531304,0.0015524378661927515
Ensemble,0.9988667134248097,0.00029699197783026715,0.02088955565765413,0.002780779500807024,0.014746645927208623,0.0014307818061689908
Random Forest,0.9981829237629194,0.00040448337287754,0.026490426883539413,0.0030081143055131093,0.01801060032670147,0.0016175644433794908
SVR,0.9973350975795714,0.0011993517632256222,0.0314347483495961,0.0069957127911601386,0.018806588858247448,0.002627723415762658
MLP,0.995706780771042,0.0003776857425755558,0.04091284508216101,0.0022521508562859402,0.031307256099950845,0.0019414777148793597
