Seed,Valid_Samples,R2,RMSE,MAE,Top10_RMSE,Top10_MAE,MuHigh_RMSE,MuHigh_MAE
2026,500.0,0.9995507294558035,0.012993271576845563,0.009255089774151605,0.022958292005570424,0.017023111560658784,0.02207940452814056,0.016938112033725826
2027,500.0,0.9995868939256778,0.012815690966826696,0.009280792327432723,0.023073011599465877,0.017667821555286185,0.021491391172401404,0.016109774741890796
2028,500.0,0.9995422344161025,0.013485433290404305,0.009518596985090347,0.024208792485259662,0.01790411650964499,0.02385574089583271,0.018151575751203016
2029,500.0,0.9995771924404759,0.012983001449153228,0.009582811307962725,0.02230427145546254,0.017778610131619414,0.021698029056105045,0.016682261135073345
2030,500.0,0.9996331020968511,0.01173480551439827,0.008350963242864025,0.02297508535961232,0.017716077542796277,0.02144687720227856,0.01614927178430468
Mean,500.0,0.9995780304669821,0.012802440559525613,0.009197650727500284,0.023103890581074166,0.01761794746000113,0.022114288570951657,0.016806199089239533
Std,0.0,3.58428865845583e-05,0.0006472089974160829,0.0004945823084589775,0.0006890105597315538,0.0003441118657870932,0.001005060220102703,0.0008305661261319041
