Friction_Asymmetry_percent,Valid_Samples,Delta_BF_mean_percent,Delta_BF_std_percent,Delta_BF_min_percent,Delta_BF_median_percent,Delta_BF_max_percent,Delta_BF_P90_percent,Delta_BF_P95_percent
0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1000,12.848175424484072,2.4470965806220266,10.083057242059144,12.109725278697812,20.209026258780284,16.77871078804516,17.543812342607954
10.0,1000,25.643027648251053,4.843381071141564,20.16486035534811,24.184406587292983,40.18705581333612,33.4212833485132,34.931836897267395
15.0,1000,38.33192111693191,7.1390172935447795,30.244155472138694,36.18918486074277,59.70894248612703,49.79387673663381,52.011209217373136
20.0,1000,50.86357315713732,9.286081021174203,40.31968924667293,48.08956879908182,78.56093271306625,65.76716364281486,68.6347970926104
