parameter,value,mu,BF,Delta_BF
L3_mm,139.0,0.3,1.5346828,-0.010885954
L3_mm,139.05,0.3,1.5363107,-0.009258032
L3_mm,139.1,0.3,1.5361494,-0.009419322
L3_mm,139.15,0.3,1.5364208,-0.009147882
L3_mm,139.20000000000002,0.3,1.5401152,-0.0054534674
L3_mm,139.25,0.3,1.5398706,-0.005698085
L3_mm,139.3,0.3,1.5393586,-0.0062100887
L3_mm,139.35,0.3,1.5411729,-0.0043958426
L3_mm,139.4,0.3,1.5407373,-0.0048314333
L3_mm,139.45000000000002,0.3,1.5395582,-0.0060105324
L3_mm,139.5,0.3,1.5413843,-0.0041843653
L3_mm,139.55,0.3,1.5415725,-0.003996253
L3_mm,139.6,0.3,1.5425825,-0.0029861927
L3_mm,139.65,0.3,1.5425825,-0.0029861927
L3_mm,139.70000000000002,0.3,1.5425498,-0.003018856
L3_mm,139.75,0.3,1.5426667,-0.002902031
L3_mm,139.8,0.3,1.5426667,-0.002902031
L3_mm,139.85,0.3,1.5426667,-0.002902031
L3_mm,139.9,0.3,1.543282,-0.0022866726
L3_mm,139.95000000000002,0.3,1.5426965,-0.0028722286
L3_mm,140.0,0.3,1.5427743,-0.002794385
L3_mm,140.05,0.3,1.5426471,-0.0029215813
L3_mm,140.1,0.3,1.5426471,-0.0029215813
L3_mm,140.15,0.3,1.5433716,-0.0021971464
L3_mm,140.20000000000002,0.3,1.5439419,-0.0016268492
L3_mm,140.25,0.3,1.5436567,-0.0019119978
L3_mm,140.3,0.3,1.5436567,-0.0019119978
L3_mm,140.35,0.3,1.5438906,-0.0016781092
L3_mm,140.4,0.3,1.5444283,-0.0011403561
L3_mm,140.45000000000002,0.3,1.5446857,-0.0008829832
L3_mm,140.5,0.3,1.5446857,-0.0008829832
L3_mm,140.55,0.3,1.5452759,-0.00029277802
L3_mm,140.6,0.3,1.5447481,-0.00082063675
L3_mm,140.65,0.3,1.5455687,0.0
L3_mm,140.70000000000002,0.3,1.545914,0.0003453493
L3_mm,140.75,0.3,1.5472775,0.001708746
L3_mm,140.8,0.3,1.5466949,0.0011261702
L3_mm,140.85,0.3,1.5456958,0.0001270771
L3_mm,140.9,0.3,1.5451721,-0.0003966093
L3_mm,140.95000000000002,0.3,1.5446528,-0.000915885
L3_mm,141.0,0.3,1.5445683,-0.0010004044
L3_mm,141.05,0.3,1.5445683,-0.0010004044
L3_mm,141.1,0.3,1.5441383,-0.0014303923
L3_mm,141.15,0.3,1.5444592,-0.0011094809
L3_mm,141.20000000000002,0.3,1.5441093,-0.0014593601
L3_mm,141.25,0.3,1.5441093,-0.0014593601
L3_mm,141.3,0.3,1.5442208,-0.0013478994
L3_mm,141.35,0.3,1.5441332,-0.0014355183
L3_mm,141.4,0.3,1.544283,-0.0012856722
L3_mm,141.45000000000002,0.3,1.5445417,-0.001026988
L3_mm,141.5,0.3,1.545367,-0.00020170212
L3_mm,141.55,0.3,1.5466293,0.001060605
L3_mm,141.6,0.3,1.5466293,0.001060605
L3_mm,141.65,0.3,1.5472599,0.0016912222
L3_mm,141.70000000000002,0.3,1.5472599,0.0016912222
L3_mm,141.75,0.3,1.5468899,0.0013211966
L3_mm,141.8,0.3,1.5468899,0.0013211966
L3_mm,141.85,0.3,1.5469506,0.0013818741
L3_mm,141.9,0.3,1.546904,0.0013352633
L3_mm,141.95000000000002,0.3,1.5469136,0.0013449192
L3_mm,142.0,0.3,1.5470104,0.0014417171
L3_mm,142.05,0.3,1.5476164,0.002047658
L3_mm,142.1,0.3,1.5479877,0.002418995
L3_mm,142.15,0.3,1.5474677,0.001899004
L3_mm,142.20000000000002,0.3,1.548418,0.0028493404
L3_mm,142.25,0.3,1.5487787,0.0032099485
L3_mm,142.3,0.3,1.5490334,0.0034646988
L3_mm,142.35,0.3,1.5492193,0.003650546
L3_mm,142.4,0.3,1.5487313,0.0031626225
L3_mm,142.45000000000002,0.3,1.5478946,0.0023258924
L3_mm,142.5,0.3,1.5479071,0.0023384094
L3_mm,142.55,0.3,1.5515784,0.006009698
L3_mm,142.6,0.3,1.5515853,0.006016612
L3_mm,142.65,0.3,1.5514202,0.005851507
L3_mm,142.70000000000002,0.3,1.5516814,0.0061126947
L3_mm,142.75,0.3,1.5513978,0.005829096
L3_mm,142.8,0.3,1.5511519,0.005583167
L3_mm,142.85,0.3,1.5510114,0.0054427385
L3_mm,142.9,0.3,1.5510114,0.0054427385
L3_mm,142.95000000000002,0.3,1.5532118,0.0076431036
L3_mm,143.0,0.3,1.5518488,0.0062800646
L3_mm,143.05,0.3,1.5506052,0.0050364733
L3_mm,143.1,0.3,1.5550144,0.009445667
L3_mm,143.15,0.3,1.5515482,0.005979538
L4_mm,152.0,0.3,1.5646389,0.019070148
L4_mm,152.1,0.3,1.5679104,0.022341728
L4_mm,152.2,0.3,1.56864,0.023071289
L4_mm,152.3,0.3,1.5665132,0.020944476
L4_mm,152.4,0.3,1.5638322,0.01826346
L4_mm,152.5,0.3,1.5626549,0.017086148
L4_mm,152.6,0.3,1.5612714,0.015702724
L4_mm,152.7,0.3,1.5610962,0.015527487
L4_mm,152.8,0.3,1.5604054,0.014836669
L4_mm,152.9,0.3,1.5604054,0.014836669
L4_mm,153.0,0.3,1.5594983,0.0139296055
L4_mm,153.1,0.3,1.5589862,0.013417482
L4_mm,153.2,0.3,1.5600555,0.01448679
L4_mm,153.3,0.3,1.5581197,0.01255095
L4_mm,153.4,0.3,1.558112,0.012543321
L4_mm,153.5,0.3,1.5561495,0.010580778
L4_mm,153.6,0.3,1.5558697,0.010300994
L4_mm,153.7,0.3,1.5573521,0.011783361
L4_mm,153.8,0.3,1.5573778,0.011809111
L4_mm,153.9,0.3,1.5559623,0.01039362
L4_mm,154.0,0.3,1.5545715,0.009002805
L4_mm,154.1,0.3,1.5545715,0.009002805
L4_mm,154.2,0.3,1.5545715,0.009002805
L4_mm,154.3,0.3,1.5521576,0.006588936
L4_mm,154.4,0.3,1.5508392,0.005270481
L4_mm,154.5,0.3,1.5498573,0.004288554
L4_mm,154.6,0.3,1.5472714,0.0017026663
L4_mm,154.7,0.3,1.5472645,0.0016957521
L4_mm,154.8,0.3,1.5470214,0.0014526844
L4_mm,154.9,0.3,1.5472505,0.0016818047
L4_mm,155.0,0.3,1.5475905,0.0020217896
L4_mm,155.1,0.3,1.5465738,0.0010050535
L4_mm,155.2,0.3,1.54652,0.00095129013
L4_mm,155.3,0.3,1.54652,0.00095129013
L4_mm,155.4,0.3,1.5455561,-1.2636185e-05
L4_mm,155.5,0.3,1.5455155,-5.3167343e-05
L4_mm,155.6,0.3,1.544509,-0.0010596514
L4_mm,155.7,0.3,1.5445585,-0.0010101795
L4_mm,155.8,0.3,1.5439279,-0.0016407967
L4_mm,155.9,0.3,1.5428798,-0.0026888847
L4_mm,156.0,0.3,1.5423877,-0.0031809807
L4_mm,156.1,0.3,1.5426415,-0.002927184
L4_mm,156.2,0.3,1.5416331,-0.0039355755
L4_mm,156.3,0.3,1.5431051,-0.0024635792
L4_mm,156.4,0.3,1.5431168,-0.0024518967
L4_mm,156.5,0.3,1.5433329,-0.0022357702
L4_mm,156.6,0.3,1.5453521,-0.00021660328
L4_mm,156.7,0.3,1.5455312,-3.7550926e-05
L4_mm,156.8,0.3,1.5455312,-3.7550926e-05
L4_mm,156.9,0.3,1.5455687,0.0
L4_mm,157.0,0.3,1.5455687,0.0
L4_mm,157.1,0.3,1.5445462,-0.0010224581
L4_mm,157.2,0.3,1.5440403,-0.0015283823
L4_mm,157.3,0.3,1.5437865,-0.0017821789
L4_mm,157.4,0.3,1.5433594,-0.0022093058
