Model,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,Top10_R2_mean,Top10_R2_std,Top10_RMSE_mean,Top10_RMSE_std,Top10_MAE_mean,Top10_MAE_std,MuHigh_R2_mean,MuHigh_R2_std,MuHigh_RMSE_mean,MuHigh_RMSE_std,MuHigh_MAE_mean,MuHigh_MAE_std
Baseline,4,0.05,300,0.9,0.9,,,,,0.9993531818685218,6.111588902558377e-05,0.015846300324983423,0.0008198292306142451,0.011290530235380406,0.0005470050288572234,0.9507051681919794,0.011188190911610676,0.029544070981464176,0.0027738951403903744,0.02311340013544788,0.0031753741101393407,0.9741860988350292,0.003992058815313387,0.02747416793876368,0.00228129387013046,0.02136024559711251,0.0023506278446263043
Tuning 1,3,0.05,300,0.9,0.9,1.0,0.0,0.0,1.0,0.999377099569486,3.403231272160183e-05,0.015561352078254143,0.0005937290086663033,0.011299596968462833,0.0005177594101061075,0.9565288833286409,0.012116278348304555,0.02755998972893714,0.0016319388260303974,0.021858545435706683,0.0015990068655155044,0.9760723424824574,0.005029210191811251,0.026299127425307843,0.000807403598440191,0.02097492700672964,0.0008156010947783291
Tuning 2,3,0.0609418819,800,0.9,0.9,1.0,0.0,0.0,1.0,0.9995632818461271,4.0390993413242995e-05,0.013021869138123917,0.0006875902071134082,0.009390645183785401,0.0004130412629778449,0.968892963550848,0.005836858444499253,0.02352375406093234,0.0019580656333007995,0.018463068564511555,0.0016779085193701355,0.9831210441748608,0.0021650329815696423,0.02225015534539545,0.001825190051269093,0.01753577740355455,0.0015588777192492226
Tuning 3,3,0.0609418819,800,0.6030189277,0.9852181122,1.0,0.0,0.0,1.0,0.9995780304669821,3.584288658456539e-05,0.012802440559525613,0.0006472089974160826,0.009197650727500286,0.000494582308458977,0.969658633614103,0.006393054221922268,0.023103890581074166,0.0006890105597315543,0.01761794746000113,0.00034411186578709244,0.9832276332807964,0.002565525918189583,0.022114288570951657,0.001005060220102703,0.016806199089239533,0.000830566126131904
Tuning 4,3,0.0609418819,800,0.6030189277,0.9852181122,7.0,0.0035095360913260736,0.0,1.0,0.9990177983521731,8.641892444846995e-05,0.019534788211630398,0.0010761284926604229,0.013870462458303992,0.0008798667587102874,0.9206885095227271,0.025538844525400735,0.03693907625690962,0.0023540918755217115,0.029348344782825674,0.0019568092265281395,0.9572110904133817,0.011025294585217914,0.03504525003188813,0.002430371540233838,0.027655370906426717,0.0016846976103843422
Tuning 5,3,0.0595,950,0.7036,0.89572,3.0,0.00456,0.02811,1.7128,0.9990020860119426,7.070438158801376e-05,0.019695611408630066,0.0009589507055448789,0.013911652462995323,0.0007632154457338507,0.9185963795739447,0.024403079331783845,0.037563251472336204,0.0016767422785382306,0.0292392651979063,0.0015759080741236356,0.9570730570010626,0.006827628240850835,0.03536033698457097,0.0011956664251081695,0.02759059779524676,0.0011339163454842126
