Model,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,Top10_R2_mean,Top10_RMSE_mean,Top10_RMSE_std,Top10_MAE_mean,MuHigh_R2_mean,MuHigh_RMSE_mean,MuHigh_RMSE_std,MuHigh_MAE_mean
Tuning 3,0.9995780304669821,3.584288658456539e-05,0.012802440559525613,0.0006472089974160826,0.009197650727500286,0.000494582308458977,0.969658633614103,0.023103890581074166,0.0006890105597315543,0.01761794746000113,0.9832276332807964,0.022114288570951657,0.001005060220102703,0.016806199089239533
Tuning 2,0.9995632818461271,4.0390993413242995e-05,0.013021869138123917,0.0006875902071134082,0.009390645183785401,0.0004130412629778449,0.968892963550848,0.02352375406093234,0.0019580656333007995,0.018463068564511555,0.9831210441748608,0.02225015534539545,0.001825190051269093,0.01753577740355455
Tuning 5,0.9990020860119426,7.070438158801376e-05,0.019695611408630066,0.0009589507055448789,0.013911652462995323,0.0007632154457338507,0.9185963795739447,0.037563251472336204,0.0016767422785382306,0.0292392651979063,0.9570730570010626,0.03536033698457097,0.0011956664251081695,0.02759059779524676
