parameter,value,mu,BF
L3_mm,140.95000000000002,0.3,1.5446528
L3_mm,141.0,0.3,1.5445683
L3_mm,141.05,0.3,1.5445683
L3_mm,141.1,0.3,1.5441383
L3_mm,141.15,0.3,1.5444592
L3_mm,141.20000000000002,0.3,1.5441093
L3_mm,141.25,0.3,1.5441093
L3_mm,141.3,0.3,1.5442208
L3_mm,141.35,0.3,1.5441332
L3_mm,141.4,0.3,1.544283
L3_mm,141.45000000000002,0.3,1.5445417
L3_mm,141.5,0.3,1.545367
L3_mm,141.55,0.3,1.5466293
L3_mm,141.6,0.3,1.5466293
L3_mm,141.65,0.3,1.5472599
L3_mm,141.70000000000002,0.3,1.5472599
L3_mm,141.75,0.3,1.5468899
L3_mm,141.8,0.3,1.5468899
L3_mm,141.85,0.3,1.5469506
L3_mm,141.9,0.3,1.546904
L3_mm,141.95000000000002,0.3,1.5469136
L3_mm,142.0,0.3,1.5470104
L3_mm,142.05,0.3,1.5476164
L3_mm,142.1,0.3,1.5479877
L3_mm,142.15,0.3,1.5474677
L3_mm,142.20000000000002,0.3,1.548418
L3_mm,142.25,0.3,1.5487787
L3_mm,142.3,0.3,1.5490334
L3_mm,142.35,0.3,1.5492193
L3_mm,142.4,0.3,1.5487313
L3_mm,142.45000000000002,0.3,1.5478946
L3_mm,142.5,0.3,1.5479071
L3_mm,142.55,0.3,1.5515784
L3_mm,142.6,0.3,1.5515853
L3_mm,142.65,0.3,1.5514202
L3_mm,142.70000000000002,0.3,1.5516814
L3_mm,142.75,0.3,1.5513978
L3_mm,142.8,0.3,1.5511519
L3_mm,142.85,0.3,1.5510114
L3_mm,142.9,0.3,1.5510114
L3_mm,142.95000000000002,0.3,1.5532118
L3_mm,143.0,0.3,1.5518488
L3_mm,143.05,0.3,1.5506052
L3_mm,143.1,0.3,1.5550144
L3_mm,143.15,0.3,1.5515482
L4_mm,152.0,0.3,1.5646389
L4_mm,152.1,0.3,1.5679104
L4_mm,152.2,0.3,1.56864
L4_mm,152.3,0.3,1.5665132
L4_mm,152.4,0.3,1.5638322
L4_mm,152.5,0.3,1.5626549
L4_mm,152.6,0.3,1.5612714
L4_mm,152.7,0.3,1.5610962
L4_mm,152.8,0.3,1.5604054
L4_mm,152.9,0.3,1.5604054
L4_mm,153.0,0.3,1.5594983
L4_mm,153.1,0.3,1.5589862
L4_mm,153.2,0.3,1.5600555
L4_mm,153.3,0.3,1.5581197
L4_mm,153.4,0.3,1.558112
L4_mm,153.5,0.3,1.5561495
L4_mm,153.6,0.3,1.5558697
L4_mm,153.7,0.3,1.5573521
L4_mm,153.8,0.3,1.5573778
L4_mm,153.9,0.3,1.5559623
L4_mm,154.0,0.3,1.5545715
L4_mm,154.1,0.3,1.5545715
L4_mm,154.2,0.3,1.5545715
L4_mm,154.3,0.3,1.5521576
L4_mm,154.4,0.3,1.5508392
L4_mm,154.5,0.3,1.5498573
L4_mm,154.6,0.3,1.5472714
L4_mm,154.7,0.3,1.5472645
L4_mm,154.8,0.3,1.5470214
L4_mm,154.9,0.3,1.5472505
L4_mm,155.0,0.3,1.5475905
L4_mm,155.1,0.3,1.5465738
L4_mm,155.2,0.3,1.54652
L4_mm,155.3,0.3,1.54652
L4_mm,155.4,0.3,1.5455561
L4_mm,155.5,0.3,1.5455155
L4_mm,155.6,0.3,1.544509
L4_mm,155.7,0.3,1.5445585
L4_mm,155.8,0.3,1.5439279
L4_mm,155.9,0.3,1.5428798
L4_mm,156.0,0.3,1.5423877
L4_mm,156.1,0.3,1.5426415
L4_mm,156.2,0.3,1.5416331
L4_mm,156.3,0.3,1.5431051
L4_mm,156.4,0.3,1.5431168
L4_mm,156.5,0.3,1.5433329
L4_mm,156.6,0.3,1.5453521
L4_mm,156.7,0.3,1.5455312
L4_mm,156.8,0.3,1.5455312
L4_mm,156.9,0.3,1.5455687
L4_mm,157.0,0.3,1.5455687
L4_mm,157.1,0.3,1.5445462
L4_mm,157.2,0.3,1.5440403
L4_mm,157.3,0.3,1.5437865
L4_mm,157.4,0.3,1.5433594
L4_mm,157.5,0.3,1.5412973
L4_mm,157.6,0.3,1.5328141
L4_mm,157.7,0.3,1.5309395
L4_mm,157.8,0.3,1.5313777
L4_mm,157.9,0.3,1.5315286
L4_mm,158.0,0.3,1.5305225
L4_mm,158.1,0.3,1.5305319
L4_mm,158.2,0.3,1.5307729
L4_mm,158.3,0.3,1.5305991
L4_mm,158.4,0.3,1.5301393
L4_mm,158.5,0.3,1.5289829
L4_mm,158.6,0.3,1.5289829
L4_mm,158.7,0.3,1.5289538
L4_mm,158.8,0.3,1.5276043
L4_mm,158.9,0.3,1.5276043
L4_mm,159.0,0.3,1.5276043
L4_mm,159.1,0.3,1.5276043
L4_mm,159.2,0.3,1.5276043
L4_mm,159.3,0.3,1.5276043
L4_mm,159.4,0.3,1.5254976
L4_mm,159.5,0.3,1.5218171
L4_mm,159.6,0.3,1.5207528
L4_mm,159.7,0.3,1.5218248
L4_mm,159.8,0.3,1.5143844
L4_mm,159.9,0.3,1.5138049
L4_mm,160.0,0.3,1.5131444
L4_mm,160.1,0.3,1.5118774
L4_mm,160.2,0.3,1.511915
L4_mm,160.3,0.3,1.5113622
L4_mm,160.4,0.3,1.5109807
L4_mm,160.5,0.3,1.5109807
L4_mm,160.6,0.3,1.510591
L4_mm,160.7,0.3,1.510591
L4_mm,160.8,0.3,1.5106894
L4_mm,160.9,0.3,1.5107875
L4_mm,161.0,0.3,1.5086288
L4_mm,161.1,0.3,1.5087296
L4_mm,161.2,0.3,1.5087296
L4_mm,161.3,0.3,1.508433
L4_mm,161.4,0.3,1.508197
L4_mm,161.5,0.3,1.5072643
L4_mm,161.6,0.3,1.5068307
L4_mm,161.7,0.3,1.5042065
L4_mm,161.8,0.3,1.5065314
L4_mm,161.9,0.3,1.4938594
L4_mm,162.0,0.3,1.5000926
theta1_deg,18.0,0.3,1.5644801
theta1_deg,18.2,0.3,1.5638967
theta1_deg,18.4,0.3,1.5621449
theta1_deg,18.6,0.3,1.5580257
theta1_deg,18.8,0.3,1.5575902
theta1_deg,19.0,0.3,1.5657588
theta1_deg,19.2,0.3,1.5656266
theta1_deg,19.4,0.3,1.5656929
theta1_deg,19.6,0.3,1.5656929
theta1_deg,19.8,0.3,1.565002
theta1_deg,20.0,0.3,1.5630507
theta1_deg,20.2,0.3,1.5657783
theta1_deg,20.4,0.3,1.5612559
theta1_deg,20.6,0.3,1.561993
theta1_deg,20.8,0.3,1.5621897
theta1_deg,21.0,0.3,1.5599238
theta1_deg,21.2,0.3,1.5592959
theta1_deg,21.4,0.3,1.5590008
theta1_deg,21.6,0.3,1.5578526
theta1_deg,21.8,0.3,1.5570602
theta1_deg,22.0,0.3,1.5572569
theta1_deg,22.2,0.3,1.5562859
theta1_deg,22.4,0.3,1.5555698
theta1_deg,22.6,0.3,1.5570871
theta1_deg,22.8,0.3,1.556271
theta1_deg,23.0,0.3,1.5551856
theta1_deg,23.2,0.3,1.5549958
theta1_deg,23.4,0.3,1.5487202
theta1_deg,23.6,0.3,1.5487202
theta1_deg,23.8,0.3,1.5478096
theta1_deg,24.0,0.3,1.5474405
theta1_deg,24.2,0.3,1.5470865
theta1_deg,24.4,0.3,1.5472841
theta1_deg,24.6,0.3,1.5472841
theta1_deg,24.8,0.3,1.5473509
theta1_deg,25.0,0.3,1.5471448
theta1_deg,25.2,0.3,1.545889
theta1_deg,25.4,0.3,1.5453031
theta1_deg,25.6,0.3,1.5461105
theta1_deg,25.8,0.3,1.5461892
theta1_deg,26.0,0.3,1.5457253
theta1_deg,26.200000000000003,0.3,1.5475601
theta1_deg,26.4,0.3,1.547087
theta1_deg,26.6,0.3,1.5467567
theta1_deg,26.8,0.3,1.5467567
theta1_deg,27.0,0.3,1.5469704
theta1_deg,27.200000000000003,0.3,1.5467947
theta1_deg,27.4,0.3,1.5462884
theta1_deg,27.6,0.3,1.5460393
theta1_deg,27.8,0.3,1.5458223
theta1_deg,28.0,0.3,1.5455687
theta1_deg,28.200000000000003,0.3,1.5457258
theta1_deg,28.4,0.3,1.5453284
theta1_deg,28.6,0.3,1.5451307
theta1_deg,28.8,0.3,1.5456177
theta1_deg,29.0,0.3,1.544565
theta1_deg,29.200000000000003,0.3,1.544565
theta1_deg,29.4,0.3,1.5444444
theta1_deg,29.6,0.3,1.5423276
theta1_deg,29.8,0.3,1.5420891
theta1_deg,30.0,0.3,1.5420891
theta1_deg,30.200000000000003,0.3,1.5405976
theta1_deg,30.4,0.3,1.5408096
theta1_deg,30.6,0.3,1.5409527
theta1_deg,30.8,0.3,1.5412334
theta1_deg,31.0,0.3,1.5392551
theta1_deg,31.200000000000003,0.3,1.5393136
theta1_deg,31.4,0.3,1.5402312
theta1_deg,31.6,0.3,1.5380284
theta1_deg,31.8,0.3,1.5378321
theta1_deg,32.0,0.3,1.5363607
theta1_deg,32.2,0.3,1.5358423
theta1_deg,32.4,0.3,1.5352539
theta1_deg,32.6,0.3,1.5344862
theta1_deg,32.8,0.3,1.5339527
theta1_deg,33.0,0.3,1.5339527
theta1_deg,33.2,0.3,1.5343143
theta1_deg,33.4,0.3,1.5343986
theta1_deg,33.6,0.3,1.5338434
theta1_deg,33.8,0.3,1.5338434
theta1_deg,34.0,0.3,1.533801
theta1_deg,34.2,0.3,1.5336148
theta1_deg,34.400000000000006,0.3,1.5336148
theta1_deg,34.6,0.3,1.5333818
theta1_deg,34.8,0.3,1.5338794
theta1_deg,35.0,0.3,1.5326539
