candidate_id,L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_XGB,Delta_BF_XGB,BF_RSM,Delta_BF_RSM,BF_physical,Delta_BF_physical,CL_physical,CT_physical,CL_CT_physical,BF_change_percent,Delta_BF_change_pp,Win_Win_Physical,Surrogate_Origin,XGBoost_Pareto,RSM_Pareto,Global_Physical_Pareto
23077,44.57603728972943,138.74197550747607,161.8614420694521,18.53488758880617,135.23542871987706,0.3,1.4677745,26.277115,1.4506406164761687,26.043681465954112,1.4534649177396637,26.24263219800302,0.9950935576123597,0.45837136012730384,2.170933099607252,-6.756040582850745,-1.8787170819969816,False,Both,True,True,True
19233,43.8608755307097,140.11477557024406,161.99029184754352,19.03156856758424,135.38150809613586,0.3,1.4612097,26.315737,1.4581540164919038,26.08114886260118,1.460835337058608,26.267807128221083,1.000609382636555,0.460225954422053,2.1741698246747294,-6.2832069619802935,-1.8535421517789175,False,RSM,False,True,True
2782,41.37790040134578,142.02982854044814,161.90625144042963,19.690919261738447,135.115801722772,0.3,1.4649607,26.438616,1.4716404224332824,26.14195851100273,1.4748646867362332,26.314688613286712,1.0110985547584836,0.46376613197774946,2.1801905853853816,-5.383183785621946,-1.806660666713288,False,RSM,False,True,True
17669,41.64546268840413,142.43563160878497,161.27958572228465,19.96439168993759,135.2582204924706,0.3,1.4815972,26.473606,1.4792227859158964,26.24148262796752,1.4802444658284337,26.384897675221243,1.016100270701198,0.46414419512723576,2.1891909483488305,-5.0380554669237,-1.7364516047787575,False,Both,True,True,True
13533,44.09562377023138,142.19281630631087,160.53719821632427,18.02334804229266,135.38750464195635,0.3,1.4777509,26.413633,1.4847583655924783,26.26195838444426,1.4827782146825532,26.39144621686948,1.0179617486560069,0.46481646602654625,2.190029448306743,-4.875508182539169,-1.7299030631305214,False,Both,True,True,True
19475,43.60344972997224,143.05753779112254,160.6737264388396,18.465899241579407,135.54184734164704,0.3,1.4805963,26.544613,1.4900159237955548,26.2958052832754,1.4872190253190882,26.41064514675304,1.021369322180615,0.4658497031384731,2.192486794130283,-4.590617393832508,-1.71070413324696,False,RSM,False,True,True
21791,39.92999978001709,142.2355502996113,161.73078207766065,18.249883448707063,135.7638586600743,0.3,1.4732844,26.494627,1.4877070954960074,26.28280754244321,1.488950296394722,26.422299769618597,1.0227760209095822,0.46617427548513984,2.1939778205161495,-4.479551369502499,-1.6990495103814034,False,RSM,False,True,True
25465,37.9473018022941,142.17549734276162,161.4029462555978,19.289591599849924,135.6974190441219,0.3,1.4879463,26.579634,1.491458192367955,26.370474996004152,1.4932532832101255,26.50175827303353,1.0272130355964235,0.46604024761370194,2.2041294520293757,-4.203502375755908,-1.6195910069664698,False,RSM,False,True,True
2889,36.26858747961717,143.12247628292667,160.90980930909154,18.889600483198,135.04422832240246,0.3,1.4972678,26.510143,1.5026028415985553,26.391293522044226,1.503694165888896,26.515925097440533,1.0346599289141911,0.469034236974705,2.205936896180119,-3.533689689604186,-1.6054241825594673,False,Both,True,True,True
10237,36.77133549720038,142.93439913772283,160.12494672823684,18.329262526515453,135.07117737650745,0.3,1.4919989,26.543228,1.50906283678275,26.47763424928654,1.5088458149923687,26.582011166064532,1.0394377384632258,0.46940807652914274,2.2143584451059044,-3.2031965665347806,-1.539338113935468,False,RSM,False,True,True
16004,36.01751251320878,142.66489875104782,161.68861369677995,19.262377874316048,138.05050712553685,0.3,1.5066599,26.769876,1.5165761045728887,26.720604728699275,1.5123585067146643,26.770150880759285,1.04532842257592,0.4670300841387443,2.2382464386713385,-2.9778472784982633,-1.3511983992407153,False,RSM,False,True,True
5166,38.6637215490949,142.11866987748175,158.50203737940976,18.170247994912227,135.81316347270368,0.3,1.4911095,26.882006,1.5195077905736871,26.732479166240772,1.515741579571109,26.782421555392062,1.0478912330760204,0.4678503464950888,2.2398000577028974,-2.760813413916126,-1.338927724607938,False,RSM,False,True,True
2924,35.599908345853486,142.69870730654554,159.69434151660906,18.86850571719124,136.45470271168566,0.3,1.4992143,26.791922,1.5246862463304556,26.76600825617159,1.5203113657691771,26.80803436046538,1.0515194991535184,0.4687918666156588,2.2430412599619856,-2.4676484715793303,-1.3133149195346192,False,RSM,False,True,True
4639,37.209278622129126,141.95675332196134,157.15000770693888,18.67181774296444,135.12183707741053,0.3,1.5058113,26.88766,1.527931875264794,26.85348595583341,1.5241043173103386,26.890043691968263,1.0556397998064517,0.4684645175038869,2.2534039620144615,-2.2243197092138267,-1.2313055880317378,False,RSM,False,True,True
27124,37.70460051819276,142.7035689165329,158.60594455692055,18.085222842087983,136.9098280154485,0.3,1.5071034,26.93401,1.5346412056087484,26.9131322551598,1.5273481379102511,26.91641531922533,1.0583662192769665,0.46898191863328464,2.2567313945946488,-2.016219277835588,-1.204933960774671,False,RSM,False,True,True
19961,36.776516528421375,141.61054439664375,156.7403336684718,18.012184182285917,135.40934221752497,0.3,1.5177432,26.951849,1.5347854901777556,26.94725113523882,1.5303932098217032,26.97363819979267,1.0615146118405032,0.4688785979811999,2.2639434096820636,-1.8208691470768097,-1.1477110802073298,False,RSM,False,True,True
11123,35.77189625439404,143.01402054956435,156.45240195219543,18.14575600707693,135.05178724426383,0.3,1.5419072,26.894085,1.5474134500012382,26.99261898509524,1.5404182490901777,26.991561501386446,1.0687942816893694,0.4716239674008082,2.266200099158781,-1.1777340130285394,-1.1297877786135544,False,Both,True,True,True
1467,37.286456026621146,142.89914286151406,155.67258499637234,18.15029903761922,135.5278474890937,0.3,1.5463518,27.123396,1.5525707627304055,27.11771790151241,1.544101618093722,27.093021195598705,1.0731888615498926,0.4709127565438293,2.2789547461537234,-0.941435285970867,-1.028328084401295,False,RSM,False,True,True
4971,35.708004717736586,142.74138220081474,155.79273131983487,18.750459287070555,135.7619780951894,0.3,1.5450553,27.186613,1.5561816968138156,27.19185194437669,1.5467549759779653,27.151896810723276,1.0760932012178182,0.47066177476014714,2.2863407629952603,-0.7712147379150409,-0.9694524692767246,False,RSM,False,True,True
797,36.65487757581775,142.91462836270597,155.81824077863268,18.980886407390194,136.52329708635486,0.3,1.5474263,27.228786,1.5595606352534062,27.27652619692667,1.548379579634163,27.213195966718867,1.0783217127369842,0.470057866897179,2.2940190744065507,-0.6669917356680821,-0.908153313281133,False,RSM,False,True,True
20136,35.06055606116331,142.1493390427889,155.7911046884381,18.393004422283912,136.18146919363258,0.3,1.5533587,27.199196,1.5584933095691729,27.25582783326545,1.5492065629351799,27.21472278900059,1.078924922748103,0.4702816401870768,2.294210172268068,-0.6139383757847273,-0.9066264909994111,False,Both,True,True,True
6488,35.20543034528144,141.54401477741183,154.29267891142655,18.44926489591159,135.4740547179104,0.3,1.5540745,27.281412,1.5617642859086618,27.34100330485048,1.5534337405109253,27.30309002052674,1.0834450745230135,0.46998866598791184,2.305257877326939,-0.3427527630388344,-0.8182592594732618,False,RSM,False,True,True
24111,35.16096111593682,142.82536629450456,156.09362265305742,18.341903803518225,137.63693175052472,0.3,1.5669729,27.37326,1.5723687199971668,27.435883165494577,1.5589379548758067,27.3454846873536,1.0880378994056235,0.47090005547018315,2.3105495248227186,0.010358436686878306,-0.7758645926463998,True,Both,True,True,True
6691,35.58789661567016,142.922132592727,155.75289836775315,18.67247049513952,137.77203314269943,0.3,1.5541312,27.401266,1.5750744109586532,27.49599832469408,1.5607778127235763,27.391888409097014,1.0901445184772545,0.47063329424632194,2.316335312024674,0.12839061510199107,-0.7294608709029866,True,RSM,False,True,True
11315,37.2232892758528,142.9035839494288,152.15082622065557,18.64548159570414,135.05408383603205,0.3,1.5463364,27.233484,1.5798634183133973,27.52983077133237,1.5688754584867097,27.453540242828538,1.096893009081273,0.47198244940543665,2.3240122815224282,0.6478779062615743,-0.6678090371714624,True,RSM,False,True,True
29757,36.2961344787823,142.88935002396178,152.76178245539035,19.120043234907072,136.1872076063435,0.3,1.5544068,27.456158,1.5860213004848656,27.65774960746349,1.5721445354912968,27.54472698728938,1.1007858331359766,0.47135870235532035,2.335346367077743,0.8575986087201491,-0.5766222927106206,True,RSM,False,True,True
15086,36.46733720981484,142.61198713584793,152.03749007019178,18.734525990597444,135.5588842985787,0.3,1.5552607,27.393793,1.585769716506415,27.64456152216032,1.5736122287134744,27.550610684698064,1.1019167912453836,0.4716954374680909,2.3360768489941686,0.9517553548343753,-0.5707385953019362,True,RSM,False,True,True
12241,37.22911324015448,142.73765625037197,153.298606461997,18.508601640313945,137.51667993587014,0.3,1.5618925,27.558376,1.588668045734559,27.73050014395778,1.5738663949953065,27.60707288475462,1.1030832936968047,0.4707831012985018,2.343081751775518,0.9680608536318365,-0.5142763952453819,True,RSM,False,True,True
24922,40.92214789200693,142.89767441919938,152.4551653799524,18.08909761709431,138.28144396065113,0.3,1.5685759,27.606482,1.589629271483827,27.800196982992336,1.5749556146105896,27.683955740445814,1.1051849767258892,0.4697706378847004,2.352605479351274,1.0379374281292608,-0.43739353955418636,True,RSM,False,True,True
14473,35.321718236508126,142.4309283181078,152.4097485570892,18.515099370921376,136.9523136821229,0.3,1.569773,27.551992,1.5976176783016367,27.83469976639633,1.5825632132941385,27.704780955744816,1.1108859469692105,0.47167726632492796,2.3551822957775244,1.5259867881468012,-0.4165683242551843,True,Both,True,True,True
10528,36.09457127542794,143.14341334398503,154.398907574108,19.441259319931067,139.9509075946399,0.3,1.5782869,27.770735,1.6034919516039343,27.995346260294443,1.5833025992293988,27.805240878179376,1.1131444552631533,0.4701581439662454,2.3675958175959417,1.5734205247988238,-0.3161084018206246,True,RSM,False,True,True
22502,35.87830171982813,142.37601837206125,153.42558293021452,18.68603001094141,139.38162885398015,0.3,1.5609882,27.741951,1.605181800075886,28.03151451159449,1.5867955800447702,27.85781120664045,1.1165058324821286,0.4702897475626415,2.3740807412209484,1.7975053014027753,-0.2635380733595518,True,RSM,False,True,True
21178,35.1804507839428,142.87191602743553,152.6823690931555,19.784661182114288,138.48325529926487,0.3,1.5721495,27.785763,1.6085100170037163,28.05918915685891,1.5889733177691627,27.870580817471573,1.1182577393266182,0.47071557844254464,2.3756548339160446,1.9372134467567352,-0.250768462528427,True,RSM,False,True,True
25,36.94638707851968,143.14704293010658,153.28769635986117,19.05903772461218,139.79256505088512,0.3,1.5809023,27.796656,1.6100429940886527,28.087070884433647,1.590161134548685,27.896157966429314,1.1195330612995211,0.47062807324916384,2.37880637585087,2.0134153132297334,-0.22519131357068645,True,RSM,False,True,True
18598,36.47992050215512,142.46411278485172,152.23710146242985,19.648211736329312,139.05652051390516,0.3,1.5743998,27.76931,1.609342377966819,28.144874481228545,1.5905598089054305,27.9579079932573,1.1208704257448618,0.4696893831605687,2.386407838734731,2.0389914211132605,-0.16344128674269953,True,Neither,False,False,True
27942,36.74859396985661,142.09792328656775,153.38676079673974,19.04358749627991,140.88602834296964,0.3,1.5752779,27.898888,1.611727872533995,28.2251317363166,1.5916918970147647,28.023487407871144,1.122784513964539,0.4689073830502256,2.3944696853797995,2.1116181329347983,-0.09786187212885622,True,Neither,False,False,True
12848,35.42010041304367,141.8401693158492,152.99438271004212,19.23030202247312,140.1563248826309,0.3,1.5717365,27.926937,1.6123689679399331,28.223666247646424,1.5926887552900313,28.025325498682758,1.1235189100235528,0.4691698452664784,2.3946954847138953,2.175569461535259,-0.09602378131724265,True,RSM,False,True,True
29030,38.62748536549711,143.0684275607203,152.55020545053088,18.904759903543678,140.63409987298317,0.3,1.5696114,27.883299,1.6164136548826744,28.23601918799766,1.5964009160806343,28.039078962453836,1.126371447501138,0.4700294685794964,2.3963847435038725,2.413715264632597,-0.08227031754616476,True,RSM,False,True,True
12445,36.629942787861566,143.12826335576815,152.036672257905,18.149762179978943,139.7045384544791,0.3,1.5874947,27.832422,1.6242529601626416,28.242343732397103,1.604296575748114,28.04859953908798,1.1321049156223995,0.47219166012571456,2.3975538138919945,2.9202445661798473,-0.07274974091201969,True,Both,True,True,True
3863,38.4371007699707,143.0017095935924,153.63352479732507,18.131148630958403,143.38196076442773,0.3,1.5888503,27.991642,1.631717143123386,28.47420289685194,1.6083594555224097,28.23893856463837,1.138199583645084,0.4701598718773257,2.420877773129187,3.1808900019020427,0.11758928463837037,False,RSM,False,True,True
16734,38.90263084185936,142.78566582517013,152.45758899760963,18.474470238166862,142.86245059195437,0.3,1.5945345,28.106705,1.6335121123934946,28.543486357553565,1.61128675705414,28.31523262454043,1.141551426377006,0.46973533067713413,2.430201332165996,3.368684823706827,0.19388334454043132,False,Both,True,True,True
25691,38.49141878215099,142.95850845625708,153.20287347181963,18.35550138170229,144.03811786869926,0.3,1.5948054,28.218283,1.6397758162212002,28.62484242443954,1.6156934263627643,28.376209733152468,1.1456930523725475,0.4700003739902168,2.437642852591422,3.6513853479252933,0.2548604531524674,False,RSM,False,True,True
6157,35.4314098309524,142.74988462254262,155.05587742745467,19.16948615404992,145.547674029327,0.3,1.60793,28.631044,1.6441985584489007,28.708461699698457,1.6169188432728188,28.42236915355984,1.1473306902430453,0.46958815302977336,2.4432700928260025,3.7299993710335397,0.30101987355983795,False,RSM,False,True,True
10666,37.94956810664253,142.55479019582145,153.56473227893298,18.03467969730675,144.9620065938525,0.3,1.6037004,28.331924,1.6446783889948755,28.72042687771081,1.6196736784912327,28.458452850349396,1.1498851531853045,0.4697885253059282,2.447665473388254,3.9067299822588804,0.3371035703493952,False,RSM,False,True,True
27468,39.67364698366689,142.86687730573146,152.4153052807439,18.91480812687244,144.77857795002353,0.3,1.6014508,28.389036,1.6455327984890884,28.79171787408139,1.6215274455511237,28.53766204293255,1.152512338362568,0.4690151071885558,2.4573032311712493,4.02565447668021,0.4163127629325487,False,RSM,False,True,True
14630,37.12390819712917,142.8174862281648,154.89021165125135,18.35086433330808,146.83920939519535,0.3,1.610211,28.602407,1.6524333444944634,28.83644734282412,1.6246464801184892,28.543194141215682,1.1548206125423714,0.46982586757611783,2.4579757996302227,4.225749524775624,0.421844861215682,False,RSM,False,True,True
3208,36.09487325700815,143.0869777073979,154.03501618306183,19.00319861832397,146.2795438471413,0.3,1.6267813,28.618223,1.6597800563374894,28.92763336728609,1.631495402861285,28.626985522467272,1.1610735774524146,0.4704218254088704,2.468154143237847,4.665127638747287,0.505636242467272,False,Both,True,True,True
7541,38.83551896934024,142.65386701457348,153.53496473823634,18.659079607102623,147.21644537704088,0.3,1.6114954,28.765524,1.6587586511529149,29.010451111659084,1.6317073069655663,28.717688624099264,1.1627118839849317,0.4689954229806347,2.479154010918655,4.678721897169892,0.5963393440992633,False,Neither,False,False,True
