candidate_id,L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_XGB,Delta_BF_XGB,BF_RSM,Delta_BF_RSM,BF_physical,Delta_BF_physical,CL_physical,CT_physical,CL_CT_physical,BF_change_percent,Delta_BF_change_pp,Win_Win_Physical,Surrogate_Origin,XGBoost_Pareto,RSM_Pareto,Global_Physical_Pareto
0,42.73956048555964,139.88562736842886,160.28601467190649,29.47678276069941,147.1090207737138,0.3,1.5245514,28.089396,1.5398812084269269,28.18384180287005,1.5184513541701796,27.946287967776133,1.0698660831815077,0.448585270988672,2.3849781800092242,-2.586973571164166,-0.17506131222386756,False,Neither,False,False,False
1,39.38878439752053,140.25508185522406,159.33606691965088,19.9808568205875,149.6430796081631,0.3,1.5734296,28.503222,1.6088883274924195,28.57689491651534,1.5805306366814513,28.257176152361907,1.1188067519970664,0.461723884684385,2.423107812067889,1.395591146069393,0.13582687236190694,False,Neither,False,False,False
2,43.58597919911382,143.07349691475818,160.65570572208867,32.87298095239169,153.1000884175828,0.3,1.5535651,28.797915,1.5893652117768178,28.93649374465358,1.563751804074215,28.68701067757973,1.1138076961481662,0.4499441079260488,2.4754356741820644,0.3191807232231884,0.5656613975797278,False,Neither,False,False,False
3,41.97368029059364,138.5709704513173,161.47754179884095,23.84715778309598,135.69826759251237,0.3,1.4590808,26.598143,1.4458092141836594,26.29195064816619,1.4502254167693946,26.44981530320293,0.9966750612512474,0.4535503555181472,2.1974959320947307,-6.963863897549894,-1.6715339767970718,False,Neither,False,False,False
4,35.9417734788765,138.70825563541294,157.64175772357768,37.1689931645021,140.88626581793872,0.3,1.4925451,27.698412,1.5165026110826147,28.24639820082429,1.4944529867366083,27.96424443112325,1.053245323709925,0.44120766302668324,2.387187286106196,-4.126537940240025,-0.1571048488767488,False,Neither,False,False,False
5,44.75622351636756,140.32685170657038,159.4516273417454,18.50409349202717,150.99492180250527,0.3,1.5669402,28.413769,1.6080930065140495,28.55205472339969,1.5743548339488078,28.208768141936584,1.1136381913227984,0.4607166426260095,2.4171868091746003,0.999395618855385,0.08741886193658388,False,Neither,False,False,False
6,42.61139701990353,138.99621827342375,156.90134765444537,29.289005707791805,150.99559660542943,0.3,1.5706067,28.945724,1.5971758149625752,29.18927872331648,1.568209763037665,28.808966776422114,1.1188923852577806,0.44931737777988434,2.4902050100673243,0.6051716264764133,0.6876174964221136,False,Neither,False,False,False
7,42.86064305276954,141.5741508032065,159.858148522785,32.07595487219171,146.55699900063715,0.3,1.5142255,28.102005,1.5409700373176531,28.218510822730853,1.5201567866641748,28.008635682996136,1.072082547556458,0.44807423910771677,2.3926449101188565,-2.477565166243001,-0.11271359700386441,False,Neither,False,False,False
8,36.28113632675546,139.95338766157852,157.36722956657775,26.6167254664656,136.24711190906288,0.3,1.5056152,27.104183,1.5057573501300243,27.16706345272026,1.497693740248257,27.115441634969756,1.041325890090818,0.45636785015743914,2.281768730491375,-3.9186342714049394,-1.0059076450302449,False,Neither,False,False,False
9,39.50385937895568,142.38103732280643,159.3631481188892,37.30546125146414,146.73323302986415,0.3,1.5289322,28.400267,1.5545812732378137,28.65173523811202,1.5306063373959784,28.401129781870317,1.0857507600596992,0.44485557733627934,2.4406814601740923,-1.8071963995313831,0.27978050187031656,False,Neither,False,False,False
