L1_mm,L3_mm,L4_mm,theta1_deg,theta2_deg,mu,BF_RSM,Delta_BF_RSM,BF_physical,Delta_BF_physical,CL_physical,CT_physical,CL_CT_physical,BF_error_percent,Delta_BF_error_percent,BF_change_percent,Delta_BF_change_pp,Delta_BF_change_percent
44.57603728972943,138.74197550747607,161.8614420694521,18.53488758880617,135.23542871987706,0.3,1.4506406164761687,26.043681465954112,1.4534649177396637,26.24263219800302,0.9950935576123597,0.45837136012730384,2.170933099607252,0.19431506251194222,0.7581203384927457,-6.756040357938302,-1.878717086847022,-6.680750158240639
43.8608755307097,140.11477557024406,161.99029184754352,19.031568567584237,135.38150809613586,0.3,1.4581540164919038,26.08114886260118,1.460835337058608,26.267807128221083,1.000609382636555,0.460225954422053,2.1741698246747294,0.18354707739361406,0.7105970616761766,-6.283206735927335,-1.8535421566289578,-6.591227674937795
41.37790040134578,142.02982854044814,161.90625144042963,19.690919261738447,135.115801722772,0.3,1.4716404224332824,26.14195851100273,1.4748646867362332,26.314688613286712,1.0110985547584836,0.46376613197774946,2.1801905853853816,0.21861424522176412,0.6564018477374935,-5.3831835573980555,-1.8066606715633284,-6.424516310590544
41.64546268840413,142.43563160878495,161.27958572228465,19.96439168993759,135.2582204924706,0.3,1.4792227859158964,26.241482627967518,1.4802444658284335,26.384897675221254,1.0161002707011977,0.4641441951272357,2.1891909483488305,0.0690210256564145,0.5435497572098638,-5.038055237867343,-1.7364516096287872,-6.174851683109938
44.095623770231384,142.19281630631087,160.53719821632427,18.02334804229266,135.38750464195635,0.3,1.4847583655924783,26.26195838444426,1.4827782146825532,26.39144621686948,1.0179617486560069,0.46481646602654625,2.190029448306743,0.13354329665202308,0.49064318552747826,-4.87550795309072,-1.7299030679805618,-6.151564956780084
43.60344972997224,143.05753779112254,160.6737264388396,18.465899241579407,135.54184734164704,0.3,1.4900159237955548,26.295805283275396,1.4872190253190882,26.41064514675304,1.021369322180615,0.4658497031384731,2.192486794130283,0.18806231152580205,0.4348241507904377,-4.590617163696878,-1.7107041380970003,-6.083293233083296
39.929999780017084,142.2355502996113,161.73078207766065,18.249883448707063,135.7638586600743,0.3,1.4877070954960074,26.282807542443212,1.488950296394722,26.422299769618597,1.0227760209095822,0.46617427548513984,2.1939778205161495,0.08349512416397575,0.5279337089944705,-4.479551139098968,-1.6990495152314438,-6.041849194436703
37.9473018022941,142.17549734276162,161.4029462555978,19.289591599849924,135.6974190441219,0.3,1.491458192367955,26.370474996004152,1.4932532832101255,26.50175827303353,1.0272130355964235,0.46604024761370194,2.2041294520293757,0.12021342007776752,0.4953757244211383,-4.2035021446865235,-1.6195910118165102,-5.759293394535094
36.26858747961717,143.12247628292667,160.90980930909154,18.889600483198,135.04422832240246,0.3,1.5026028415985553,26.391293522044226,1.503694165888896,26.515925097440533,1.0346599289141911,0.469034236974705,2.205936896180119,0.07257621364086553,0.4700253713129457,-3.533689456919156,-1.6054241874095077,-5.708915924153064
36.77133549720038,142.93439913772283,160.12494672823684,18.329262526515453,135.07117737650745,0.3,1.5090628367827499,26.47763424928654,1.5088458149923687,26.582011166064532,1.0394377384632258,0.46940807652914274,2.2143584451059044,0.014383298029844518,0.39265996890123067,-3.203196333052573,-1.5393381187855084,-5.473912731544513
