Model,Target,Metric,CV_Mean,CV_Std
RSM,BF,R2,0.9987831792730646,0.0001328623934111109
RSM,BF,RMSE,0.02179049320082648,0.0017242671271665052
RSM,BF,MAE,0.017172853969357478,0.0010656731768206526
RSM,Delta_BF,R2,0.9966872056355885,0.0004195326426933414
RSM,Delta_BF,RMSE,0.2772965648401484,0.022574733145926448
RSM,Delta_BF,MAE,0.2118954834143519,0.012976995626334198
