Parameter,Parameter_Value,BF
L3_mm,141.45000000000002,1.5499478338109511
L3_mm,141.5,1.5502075000588673
L3_mm,141.55,1.5504671663067835
L3_mm,141.6,1.5507268325546997
L3_mm,141.65,1.5509864988026156
L3_mm,141.70000000000002,1.551246165050532
L3_mm,141.75,1.5515058312984475
L3_mm,141.8,1.5517654975463637
L3_mm,141.85,1.55202516379428
L3_mm,141.9,1.5522848300421959
L3_mm,141.95000000000002,1.5525444962901123
L3_mm,142.0,1.552804162538028
L3_mm,142.05,1.5530638287859442
L3_mm,142.1,1.5533234950338604
L3_mm,142.15,1.5535831612817765
L3_mm,142.20000000000002,1.5538428275296923
L3_mm,142.25,1.5541024937776087
L3_mm,142.3,1.5543621600255244
L3_mm,142.35,1.5546218262734404
L3_mm,142.4,1.5548814925213565
L3_mm,142.45000000000002,1.5551411587692725
L3_mm,142.5,1.5554008250171887
L3_mm,142.55,1.5556604912651046
L3_mm,142.6,1.5559201575130204
L3_mm,142.65,1.5561798237609366
L3_mm,142.70000000000002,1.5564394900088527
L3_mm,142.75,1.5566991562567687
L3_mm,142.8,1.556958822504685
L3_mm,142.85,1.5572184887526008
L3_mm,142.9,1.557478155000517
L3_mm,142.95000000000002,1.5577378212484334
L3_mm,143.0,1.5579974874963494
L3_mm,143.05,1.5582571537442655
L3_mm,143.1,1.5585168199921817
L3_mm,143.15,1.5587764862400972
L4_mm,152.0,1.5875943528914602
L4_mm,152.1,1.5867165982648297
L4_mm,152.2,1.5858406311246682
L4_mm,152.3,1.5849664459547874
L4_mm,152.4,1.5840940372617338
L4_mm,152.5,1.5832233995746694
L4_mm,152.6,1.5823545274452555
L4_mm,152.7,1.58148741544754
L4_mm,152.8,1.580622058177838
L4_mm,152.9,1.5797584502546236
L4_mm,153.0,1.57889658631841
L4_mm,153.1,1.5780364610316404
L4_mm,153.2,1.5771780690785775
L4_mm,153.3,1.576321405165189
L4_mm,153.4,1.5754664640190374
L4_mm,153.5,1.5746132403891724
L4_mm,153.6,1.5737617290460193
L4_mm,153.7,1.5729119247812697
L4_mm,153.8,1.5720638224077765
L4_mm,153.9,1.5712174167594457
L4_mm,154.0,1.5703727026911276
L4_mm,154.1,1.5695296750785115
L4_mm,154.2,1.5686883288180231
L4_mm,154.3,1.567848658826716
L4_mm,154.4,1.56701066004217
L4_mm,154.5,1.5661743274223865
L4_mm,154.6,1.565339655945686
L4_mm,154.7,1.5645066406106074
