Parameter,Min,Max,Central,BF_at_min,BF_at_max,BF_change,BF_slope,BF_correlation,BF_trend,DeltaBF_at_min,DeltaBF_at_max,DeltaBF_change,DeltaBF_slope,DeltaBF_correlation,DeltaBF_trend
L1_mm,35.0,45.0,40.0,1.5617321462073883,1.5282905516683774,-0.033441594539010966,-0.0033463707656068912,-0.9997031503611712,Monotonic decreasing,28.26722542969136,27.96202813408834,-0.30519729560302267,-0.03054309734421995,-0.9997364882703081,Monotonic decreasing
L3_mm,138.15,143.15,140.65,1.5328098614484915,1.5587764862400972,0.02596662479160572,0.005193324958321143,1.0,Monotonic increasing,28.121349284850027,28.12134928485004,1.4210854715202004e-14,1.0851203321813638e-15,0.09543355399368805,Approximately constant
L4_mm,152.0,162.0,157.0,1.5875943528914602,1.5078561013946203,-0.07973825149683988,-0.007966464310341292,-0.9996802730562703,Monotonic decreasing,28.75741432511372,27.553593156016742,-1.2038211690969796,-0.12024392638726011,-0.9995614937831045,Monotonic decreasing
theta1_deg,18.0,38.0,28.0,1.5732940562739754,1.5248551832334194,-0.04843887304055605,-0.002477864307053883,-0.997486260603261,Monotonic decreasing,27.96247592302974,28.484164704253384,0.521688781223645,0.02564942183020358,0.9791064509184514,Monotonic increasing
theta2_deg,135.0,155.0,145.0,1.4813295554878405,1.6174835536410455,0.13615399815320495,0.006865874390527076,0.9996009189594761,Monotonic increasing,26.94261749362678,29.32104964647031,2.37843215284353,0.11969883679177569,0.999978734462375,Monotonic increasing
